/,ㅏ,ㅐ,ㅑ,ㅒ,ㅓ,ㅔ,ㅕ,ㅖ,ㅗ,ㅛ,ㅜ,ㅠ,ㅡ,ㅣ,ㅘ,ㅚ,ㅙ,ㅝ,ㅟ,ㅞ,ㅢ
ㄱ/:,가,개,갸,걔,거,게,겨,계,고,교,구,규,그,기,과,괴,괘,궈,귀,궤,긔
ㄱ/ㄱ,각,객,갹,걕,걱,겍,격,곅,곡,굑,국,귝,극,긱,곽,괵,괙,궉,귁,궥,긕
ㄱ/ㄴ,간,갠,갼,걘,건,겐,견,곈,곤,굔,군,균,근,긴,관,괸,괜,권,귄,궨,긘
ㄱ/ㄷ,갇,갣,갿,걛,걷,겓,겯,곋,곧,굗,굳,귣,귿,긷,괃,괻,괟,궏,귇,궫,긛
ㄱ/ㄹ,갈,갤,걀,걜,걸,겔,결,곌,골,굘,굴,귤,글,길,괄,괼,괠,궐,귈,궬,긜
ㄱ/ㅁ,감,갬,걈,걤,검,겜,겸,곔,곰,굠,굼,귬,금,김,괌,굄,괨,궘,귐,궴,긤
ㄱ/ㅂ,갑,갭,걉,걥,겁,겝,겹,곕,곱,굡,굽,귭,급,깁,괍,굅,괩,궙,귑,궵,긥
ㄱ/ㅅ,갓,갯,걋,걧,것,겟,겻,곗,곳,굣,굿,귯,긋,깃,괏,굇,괫,궛,귓,궷,긧
ㄱ/ㅇ,강,갱,걍,걩,겅,겡,경,곙,공,굥,궁,귱,긍,깅,광,굉,괭,궝,귕,궹,긩
ㄱ/ㅈ,갖,갲,걎,걪,겆,겢,겾,곚,곶,굦,궂,귲,긎,깆,괒,굊,괮,궞,귖,궺,긪
ㄱ/ㅊ,갗,갳,걏,걫,겇,겣,겿,곛,곷,굧,궃,귳,긏,깇,괓,굋,괯,궟,귗,궻,긫
ㄱ/ㅋ,갘,갴,걐,걬,겈,겤,곀,곜,곸,굨,궄,귴,긐,깈,괔,굌,괰,궠,귘,궼,긬
ㄱ/ㅌ,같,갵,걑,걭,겉,겥,곁,곝,곹,굩,궅,귵,긑,깉,괕,굍,괱,궡,귙,궽,긭
ㄱ/ㅍ,갚,갶,걒,걮,겊,겦,곂,곞,곺,굪,궆,귶,긒,깊,괖,굎,괲,궢,귚,궾,긮
ㄱ/ㅎ,갛,갷,걓,걯,겋,겧,곃,곟,곻,굫,궇,귷,긓,깋,괗,굏,괳,궣,귛,궿,긯
ㄱ/ㄲ,갂,갞,갺,걖,걲,겎,겪,곆,곢,굒,굮,귞,귺,긲,곾,괶,괚,궊,귂,궦,긖
ㄱ/ㄳ,갃,갟,갻,걗,걳,겏,겫,곇,곣,굓,굯,귟,귻,긳,곿,괷,괛,궋,귃,궧,긗
ㄱ/ㄵ,갅,갡,갽,걙,걵,겑,겭,곉,곥,굕,굱,귡,귽,긵,괁,괹,괝,궍,귅,궩,긙
ㄱ/ㄶ,갆,갢,갾,걚,걶,겒,겮,곊,곦,굖,굲,귢,귾,긶,괂,괺,괞,궎,귆,궪,긚
ㄱ/ㄺ,갉,갥,걁,걝,걹,겕,겱,곍,곩,굙,굵,귥,긁,긹,괅,괽,괡,궑,귉,궭,긝
ㄱ/ㄻ,갊,갦,걂,걞,걺,겖,겲,곎,곪,굚,굶,귦,긂,긺,괆,괾,괢,궒,귊,궮,긞
ㄱ/ㄼ,갋,갧,걃,걟,걻,겗,겳,곏,곫,굛,굷,귧,긃,긻,괇,괿,괣,궓,귋,궯,긟
ㄱ/ㄽ,갌,갨,걄,걠,걼,겘,겴,곐,곬,굜,굸,귨,긄,긼,괈,굀,괤,궔,귌,궰,긠
ㄱ/ㄾ,갍,갩,걅,걡,걽,겙,겵,곑,곭,굝,굹,귩,긅,긽,괉,굁,괥,궕,귍,궱,긡
ㄱ/ㄿ,갎,갪,걆,걢,걾,겚,겶,곒,곮,굝,굺,귪,긆,긾,괊,굂,괦,궖,귎,궲,긢
ㄱ/ㅀ,갏,갫,걇,걣,걿,겛,겷,곓,곯,굟,굻,귫,긇,긿,괋,굃,괧,궗,귏,궳,긣
ㄱ/ㅄ,값,갮,걊,걦,겂,겞,겺,곖,곲,굢,굾,귮,긊,깂,괎,굆,괪,궚,귒,궶,긦
ㄱ/ㅆ,갔,갰,걌,걨,겄,겠,겼,곘,곴,굤,궀,귰,긌,깄,괐,굈,괬,궜,귔,궸,긨
ㄲ/:,까,깨,꺄,꺠,꺼,께,껴,꼐,꼬,꾜,꾸,뀨,끄,끼,꽈,꾀,꽤,꿔,뀌,꿰,끠
ㄲ/ㄱ,깍,깩,꺅,꺡,꺽,껙,껵,꼑,꼭,꾝,꾹,뀩,끅,끽,꽉,꾁,꽥,꿕,뀍,꿱,끡
ㄲ/ㄴ,깐,깬,꺈,꺤,껀,껜,껸,꼔,꼰,꾠,꾼,뀬,끈,낀,꽌,꾄,꽨,꿘,뀐,꿴,끤
ㄲ/ㄷ,깓,깯,꺋,꺧,껃,껟,껻,꼗,꼳,꾣,꾿,뀯,끋,낃,꽌,꾇,꽫,꿛,뀓,꿷,끧
ㄲ/ㄹ,깔,깰,꺌,꺨,껄,껠,껼,꼘,꼴,꾤,꿀,뀰,끌,낄,꽐,꾈,꽬,꿜,뀔,꿸,끨
ㄲ/ㅁ,깜,깸,꺔,꺰,껌,껨,꼄,꼠,꼼,꾬,꿈,뀸,끔,낌,꽘,꾐,꽴,꿤,뀜,뀀,끰
ㄲ/ㅂ,깝,깹,꺕,꺱,껍,껩,꼅,껩,꼽,꾭,꿉,뀹,끕,낍,꽙,꾑,꽵,꿥,뀝,뀁,끱
ㄲ/ㅅ,깟,깻,꺗,꺳,껏,껫,꼇,꼣,꼿,꾯,꿋,뀻,끗,낏,꽛,꾓,꽷,꿧,뀟,뀃,끳
ㄲ/ㅇ,깡,깽,꺙,꺵,껑,껭,꼉,꼥,꽁,꾱,꿍,뀽,끙,낑,꽝,꾕,꽹,꿩,뀡,뀅,끵
ㄲ/ㅈ,깢,깾,꺚,깾,껒,껮,꼊,꼦,꽂,꾲,꿎,뀾,끚,낒,꽞,꾖,꽺,꿪,뀢,뀆,끶
ㄲ/ㅊ,깣,깿,꺛,꺷,껓,껯,꼋,꼧,꽃,꾳,꿏,뀿,끛,낓,꽟,꾗,꽻,꿫,뀣,뀇,끷
ㄲ/ㅋ,깤,꺀,꺜,꺸,껔,껰,꼌,꼨,꽄,꾴,꿐,끀,끜,낔,꽠,꾘,꽼,꿬,뀤,뀈,끸
ㄲ/ㅌ,깥,꺁,깥,꺹,껕,껱,꼍,꼩,꽅,꾵,꿑,끁,끝,낕,꽡,꾙,꽽,꿭,뀥,뀉,끹
ㄲ/ㅍ,깦,꺂,꺞,꺺,껖,껲,꼎,꼪,꽆,꾶,꿒,끂,끞,낖,꽢,꾚,꽾,꿮,뀦,뀊,끺
ㄲ/ㅎ,깧,꺃,꺟,꺻,껗,껳,꼏,꼫,꽇,꾷,꿓,끃,끟,낗,꽣,꾛,꽿,꿯,뀧,뀋,끻
ㄲ/ㄲ,깎,깪,꺆,꺢,꺾,껚,껶,꼒,꼮,꾞,꾺,뀪,끆,끾,꽊,꾂,꽦,꿖,뀎,꿲,끢
ㄲ/ㄳ,깏,깫,꺇,꺣,꺿,껛,껷,껛,꼯,꾟,꾻,뀫,끇,끿,꽋,꾃,꽧,꿗,뀏,꿳,끣
ㄲ/ㄵ,깑,깭,꺉,꺥,껁,껝,껹,꼕,꼱,꾡,꾽,뀭,끉,낁,꽍,꾅,꽩,꿙,뀑,꿵,끥
ㄲ/ㄶ,깒,깮,꺊,꺦,껂,껞,껺,꼖,꼲,꾢,꾾,뀮,끊,낂,꽎,꾆,꽪,꿚,뀒,꿶,끦
ㄲ/ㄺ,깕,깱,꺍,꺩,껅,껡,껽,꼙,꼵,꾥,꿁,뀱,끍,낅,꽑,꾉,꽭,꿝,뀕,꿹,끩
ㄲ/ㄻ,깖,깲,꺎,꺪,껆,껢,껾,꼚,꼶,꾦,꿂,뀲,끎,낆,꽒,꾊,꽮,꿞,뀖,꿺,끪
ㄲ/ㄼ,깗,깳,꺏,꺫,껇,껣,껿,꼛,꼷,꾧,꿃,뀳,끏,낇,꽓,꾋,꽯,꿟,뀗,꿻,끫
ㄲ/ㄽ,깘,깴,꺐,꺬,껈,껤,꼀,꼜,꼸,꾨,꿄,뀴,끐,낈,꽔,꾌,꽰,꿠,뀘,꿼,끬
ㄲ/ㄾ,깙,깵,꺑,꺭,껉,껥,꼁,꼝,꼹,꾩,꿅,뀵,끑,낉,꽕,꾍,꽱,꿡,뀙,꿽,끭
ㄲ/ㄿ,깚,깶,꺒,꺮,껊,껦,꼂,꼞,꼺,꾩,꿆,뀶,끒,낊,꽖,꾎,꽲,꿢,뀚,꿾,끮
