/,ㄱ,ㄲ,ㄴ,ㄷ,ㄸ,ㄹ,ㅁ,ㅂ,ㅃ,ㅅ,ㅆ,ㅇ,ㅈ,ㅉ,ㅊ,ㅋ,ㅌ,ㅍ,ㅎ
ㅏ,각,깍,낙,닥,딱,락,막,박,빡,삭,싹,악,작,짝,착,칵,탁,팍,학
ㅐ,객,깩,낵,댁,땍,랙,맥,백,빽,색,쌕,액,잭,짹,책,캑,택,팩,핵
ㅑ,갹,꺅,냑,댝,땩,략,먁,뱍,뺙,샥,쌱,약,쟉,쨕,챡,캭,탹,퍅,햑
ㅒ,걕,꺡,냭,댹,떅,럑,먝,뱩,뺵,섁,썍,얙,쟥,쨱,챽,컉,턕,퍡,햭
ㅓ,걱,꺽,넉,덕,떡,럭,먹,벅,뻑,석,썩,억,적,쩍,척,컥,턱,퍽,헉
ㅔ,겍,껙,넥,덱,떽,렉,멕,벡,뻭,섹,쎅,엑,젝,쩩,첵,켁,텍,펙,헥
ㅕ,격,껵,녁,뎍,뗙,력,멱,벽,뼉,셕,쎡,역,젹,쪅,쳑,켝,텩,펵,혁
ㅖ,곅,꼑,녝,뎩,뗵,롁,몍,볙,뼥,셱,쎽,옉,졕,쪡,쳭,켹,톅,폑,혝
ㅗ,곡,꼭,녹,독,똑,록,목,복,뽁,속,쏙,옥,족,쪽,촉,콕,톡,폭,혹
ㅛ,굑,꾝,뇩,됵,뚁,룍,묙,뵥,뾱,쇽,쑉,욕,죡,쬭,쵹,쿅,툑,푝,횩
ㅜ,국,꾹,눅,둑,뚝,룩,묵,북,뿍,숙,쑥,욱,죽,쭉,축,쿡,툭,푹,훅
ㅠ,귝,뀩,뉵,듁,뜍,륙,뮥,뷱,쀽,슉,쓕,육,쥭,쮹,츅,큑,튝,퓩,휵
ㅡ,극,끅,늑,득,뜩,륵,믁,븍,쁙,슥,쓱,윽,즉,쯕,측,큭,특,픅,흑
ㅣ,긱,끽,닉,딕,띡,릭,믹,빅,삑,식,씩,익,직,찍,칙,킥,틱,픽,힉
ㅘ,곽,꽉,놕,돡,똭,롹,뫅,봑,뽝,솩,쏵,왁,좍,쫙,촥,콱,톽,퐉,확
ㅚ,괵,꾁,뇍,됙,뙥,뢱,뫽,뵉,뾕,쇡,쐭,왹,죅,쬑,쵝,쾩,퇵,푁,획
ㅙ,괙,꽥,놱,돽,뙉,뢕,뫡,봭,뽹,쇅,쐑,왝,좩,쫵,쵁,쾍,퇙,퐥,홱
ㅝ,궉,꿕,눡,둭,뚹,뤅,뭑,붝,뿩,숵,쒁,웍,줙,쭥,춱,쿽,퉉,풕,훡
ㅟ,귁,뀍,뉙,뒥,뛱,뤽,뮉,뷕,쀡,쉭,쒹,윅,쥑,쮝,췩,퀵,튁,퓍,휙
ㅞ,궥,꿱,눽,뒉,뛕,뤡,뭭,붹,쀅,쉑,쒝,웩,줵,쮁,췍,퀙,퉥,풱,훽
ㅢ,긕,끡,늭,듹,띅,릑,믝,븩,쁵,싁,씍,읙,즥,쯱,츽,킉,틕,픡,흭
