/,ㄱ,ㄲ,ㄴ,ㄷ,ㄸ,ㄹ,ㅁ,ㅂ,ㅃ,ㅅ,ㅆ,ㅇ,ㅈ,ㅉ,ㅊ,ㅋ,ㅌ,ㅍ,ㅎ
ㅏ,갘,깤,낰,닼,땈,랔,맠,밬,빸,샄,쌐,앜,잨,짴,챀,캌,탘,팤,핰
ㅐ,갴,꺀,냌,댘,땤,랰,맼,뱈,뺔,샠,쌬,앸,쟄,쨐,챜,캨,탴,퍀,햌
ㅑ,걐,꺜,냨,댴,떀,럌,먘,뱤,뺰,샼,썈,얔,쟠,쨬,챸,컄,턐,퍜,햨
ㅒ,걬,꺸,넄,덐,떜,럨,먴,벀,뻌,섘,썤,얰,쟼,쩈,첔,컠,턬,퍸,헄
ㅓ,겈,껔,넠,덬,떸,렄,멐,벜,뻨,섴,쎀,엌,젘,쩤,첰,컼,텈,펔,헠
ㅔ,겤,껰,넼,뎈,뗔,렠,멬,벸,뼄,셐,쎜,엨,젴,쪀,쳌,켘,텤,펰,헼
ㅕ,곀,꼌,녘,뎤,뗰,렼,몈,볔,뼠,셬,쎸,옄,졐,쪜,쳨,켴,톀,폌,혘
ㅖ,곜,꼨,녴,돀,똌,롘,몤,볰,뼼,솈,쏔,옠,졬,쪸,촄,콐,톜,폨,혴
ㅗ,곸,꽄,놐,돜,똨,롴,뫀,봌,뽘,솤,쏰,옼,좈,쫔,촠,콬,톸,퐄,홐
ㅛ,굨,꾴,눀,둌,뚘,룤,묰,뵼,뿈,숔,쑠,욬,죸,쭄,춐,쿜,툨,푴,훀
ㅜ,궄,꿐,눜,둨,뚴,뤀,뭌,붘,뿤,숰,쑼,웈,줔,쭠,춬,쿸,퉄,풐,훜
ㅠ,귴,끀,늌,듘,뜤,륰,뮼,븈,쁔,슠,쓬,윸,즄,쯐,츜,큨,튴,픀,흌
ㅡ,긐,끜,늨,듴,띀,릌,믘,븤,쁰,슼,씈,읔,즠,쯬,츸,킄,틐,픜,흨
ㅣ,깈,낔,닠,딬,띸,맄,밐,빜,삨,싴,앀,잌,짘,찤,칰,킼,팈,핔,힠
ㅘ,괔,꽠,놬,돸,뙄,뢐,뫜,봨,뽴,쇀,쐌,왘,좤,쫰,촼,쾈,퇔,퐠,홬
ㅚ,굌,꾘,뇤,됰,뙼,룈,묔,뵠,뾬,쇸,쑄,욐,죜,쬨,쵴,쿀,툌,푘,횤
ㅙ,괰,꽼,뇈,됔,뙠,뢬,뫸,뵄,뾐,쇜,쐨,왴,죀,쬌,쵘,쾤,퇰,퐼,횈
ㅝ,궠,꿬,눸,뒄,뛐,뤜,뭨,붴,쀀,쉌,쒘,웤,줰,쭼,췈,퀔,퉠,풬,훸
ㅟ,귘,뀤,뉰,뒼,뜈,륔,뮠,뷬,쀸,슄,쓐,윜,쥨,쮴,츀,큌,튘,퓤,휰
ㅞ,궼,뀈,뉔,뒠,뛬,뤸,뮄,뷐,쀜,쉨,쒴,윀,쥌,쮘,췤,퀰,퉼,퓈,휔
ㅢ,긬,끸,닄,딐,띜,릨,믴,빀,삌,싘,씤,읰,즼,찈,칔,킠,틬,픸,힄
