/,ㄱ,ㄲ,ㄴ,ㄷ,ㄸ,ㄹ,ㅁ,ㅂ,ㅃ,ㅅ,ㅆ,ㅇ,ㅈ,ㅉ,ㅊ,ㅋ,ㅌ,ㅍ,ㅎ
ㅏ,갛,깧,낳,닿,땋,랗,맣,밯,빻,샇,쌓,앟,잫,짷,챃,캏,탛,팧,핳
ㅐ,갷,꺃,냏,댛,땧,랳,맿,뱋,뺗,샣,쌯,앻,쟇,쨓,챟,캫,탷,퍃,햏
ㅑ,걓,꺟,냫,댷,떃,럏,먛,뱧,뺳,샿,썋,얗,쟣,쨯,챻,컇,턓,퍟,햫
ㅒ,걯,꺻,넇,덓,떟,럫,먷,벃,뻏,섛,썧,얳,쟿,쩋,첗,컣,턯,퍻,헇
ㅓ,겋,껗,넣,덯,떻,렇,멓,벟,뻫,섷,쎃,엏,젛,쩧,첳,컿,텋,펗,헣
ㅔ,겧,껳,넿,뎋,뗗,렣,멯,벻,뼇,셓,쎟,엫,젷,쪃,쳏,켛,텧,펳,헿
ㅕ,곃,꼏,녛,뎧,뗳,렿,몋,볗,뼣,셯,쎻,옇,졓,쪟,쳫,켷,톃,폏,혛
ㅖ,곟,꼫,녷,돃,똏,롛,몧,볳,뼿,솋,쏗,옣,졯,쪻,촇,콓,톟,폫,혷
ㅗ,곻,꽇,놓,돟,똫,롷,뫃,봏,뽛,솧,쏳,옿,좋,쫗,촣,콯,톻,퐇,홓
ㅛ,굫,꾷,눃,둏,뚛,룧,묳,뵿,뿋,숗,쑣,욯,죻,쭇,춓,쿟,툘,푤,훃
ㅜ,궇,꿓,눟,둫,뚷,뤃,뭏,붛,뿧,숳,쑿,웋,줗,쭣,춯,쿻,퉇,풓,훟
ㅠ,귷,끃,늏,듛,뜧,륳,뮿,븋,쁗,슣,쓯,윻,즇,쯓,츟,큫,튷,픃,흏
ㅡ,긓,끟,늫,듷,띃,릏,믛,븧,쁳,슿,씋,읗,즣,쯯,츻,킇,틓,픟,흫
ㅣ,깋,낗,닣,딯,띻,맇,밓,빟,삫,싷,앃,잏,짛,찧,칳,킿,팋,핗,힣
ㅘ,괗,꽣,놯,돻,뙇,뢓,뫟,봫,뽷,쇃,쐏,왛,좧,쫳,촿,쾋,퇗,퐣,홯
ㅚ,굏,꾛,뇧,됳,뙿,룋,묗,뵣,뾯,쇻,쑇,욓,죟,쬫,쵷,쿃,툏,푛,횧
ㅙ,괳,꽿,뇋,됗,뙣,뢯,뫻,뵇,뾓,쇟,쐫,왷,죃,쬏,쵛,쾧,퇳,퐿,횋
ㅝ,궣,꿯,눻,뒇,뛓,뤟,뭫,붷,쀃,쉏,쒛,웧,줳,쭿,췋,퀗,퉣,풯,훻
ㅟ,귛,뀧,뉳,뒿,뜋,륗,뮣,뷯,쀻,슇,쓓,윟,쥫,쮷,츃,큏,튛,퓧,휳
ㅞ,궿,뀋,뉗,뒣,뛯,뤻,뮇,뷓,쀟,쉫,쒷,윃,쥏,쮛,췧,퀳,퉿,퓋,휗
ㅢ,긯,끻,닇,딓,띟,릫,믷,빃,삏,싛,씧,읳,즿,찋,칗,킣,틯,픻,힇
