/,ㄱ,ㄲ,ㄴ,ㄷ,ㄸ,ㄹ,ㅁ,ㅂ,ㅃ,ㅅ,ㅆ,ㅇ,ㅈ,ㅉ,ㅊ,ㅋ,ㅌ,ㅍ,ㅎ
ㅏ,갉,깕,낡,닭,딹,랅,맑,밝,빩,삵,쌁,앍,잙,짥,찱,칽,탉,팕,핡
ㅐ,갥,깱,낽,댉,땕,랡,맭,밹,뺅,샑,쌝,앩,잵,쨁,챍,캙,탥,팱,핽
ㅑ,걁,꺍,냙,댥,땱,랽,먉,뱕,뺡,샭,쌹,얅,쟑,쨝,챩,캵,턁,퍍,햙
ㅒ,걝,꺩,냵,덁,떍,럙,먥,뱱,뺽,섉,썕,얡,쟭,쨹,첅,컑,턝,퍩,햵
ㅓ,걹,껅,넑,덝,떩,럵,멁,벍,뻙,섥,썱,얽,젉,쩕,첡,컭,턹,펅,헑
ㅔ,겕,껡,넭,덹,뗅,렑,멝,벩,뻵,셁,쎍,엙,젥,쩱,첽,켉,텕,펡,헭
ㅕ,겱,껽,녉,뎕,뗡,렭,멹,볅,뼑,셝,쎩,엵,졁,쪍,쳙,켥,텱,펽,혉
ㅖ,곍,꼙,녥,뎱,뗽,롉,몕,볡,뼭,셹,쏅,옑,졝,쪩,쳵,콁,톍,폙,혥
ㅗ,곩,꼵,놁,돍,똙,롥,몱,볽,뽉,솕,쏡,옭,졹,쫅,촑,콝,톩,폵,홁
ㅛ,굙,꾥,뇱,됽,뚉,룕,묡,뵭,뾹,숅,쑑,욝,죩,쬵,춁,쿍,툙,푥,횱
ㅜ,굵,꿁,눍,둙,뚥,룱,묽,붉,뿕,숡,쑭,욹,줅,쭑,춝,쿩,툵,풁,훍
ㅠ,귥,뀱,뉽,듉,뜕,륡,뮭,뷹,쁅,슑,쓝,윩,쥵,쯁,츍,큙,튥,퓱,휽
ㅡ,긁,끍,늙,듥,뜱,륽,믉,븕,쁡,슭,쓹,읅,즑,쯝,츩,큵,틁,픍,흙
ㅣ,긹,낅,닑,딝,띩,릵,밁,빍,삙,싥,씱,읽,짉,찕,칡,킭,틹,핅,힑
ㅘ,괅,꽑,놝,돩,똵,뢁,뫍,봙,뽥,솱,쏽,왉,좕,쫡,촭,콹,퇅,퐑,홝
ㅚ,괽,꾉,뇕,됡,뙭,뢹,묅,뵑,뾝,쇩,쐵,욁,죍,쬙,쵥,쾱,퇽,푉,횕
ㅙ,괡,꽭,놹,됅,뙑,뢝,뫩,봵,뾁,쇍,쐙,왥,좱,쫽,쵉,쾕,퇡,퐭,홹
ㅝ,궑,꿝,눩,둵,뛁,뤍,뭙,붥,뿱,숽,쒉,웕,줡,쭭,춹,퀅,퉑,풝,훩
ㅟ,귉,뀕,뉡,뒭,뛹,륅,뮑,뷝,쀩,쉵,쓁,윍,쥙,쮥,췱,퀽,튉,퓕,휡
ㅞ,궭,꿹,뉅,뒑,뛝,뤩,뭵,뷁,쀍,쉙,쒥,웱,줽,쮉,췕,퀡,퉭,풹,휅
ㅢ,긝,끩,늵,딁,띍,릙,믥,븱,쁽,싉,씕,읡,즭,쯹,칅,킑,틝,픩,흵
