/,ㄱ,ㄲ,ㄴ,ㄷ,ㄸ,ㄹ,ㅁ,ㅂ,ㅃ,ㅅ,ㅆ,ㅇ,ㅈ,ㅉ,ㅊ,ㅋ,ㅌ,ㅍ,ㅎ
ㅏ,갊,깖,낢,닮,딺,랆,맒,밞,빪,삶,쌂,앎,잚,짦,찲,칾,탊,팖,핢
ㅐ,갦,깲,낾,댊,땖,랢,맮,밺,뺆,샒,쌞,앪,잶,쨂,챎,캚,탦,팲,핾
ㅑ,걂,꺎,냚,댦,땲,랾,먊,뱖,뺢,샮,쌺,얆,쟒,쨞,챪,캶,턂,퍎,햚
ㅒ,걞,꺪,냶,덂,떎,럚,먦,뱲,뺾,섊,쌞,얢,쟮,쨺,첆,컒,턞,퍪,햶
ㅓ,걺,껆,넒,덞,떪,럶,멂,벎,뻚,섦,썲,얾,젊,쩖,첢,컮,턺,펆,헒
ㅔ,겖,껢,넮,덺,뗆,렒,멞,벪,뻶,셂,쎎,엚,젦,쩲,첾,켊,텖,펢,헮
ㅕ,겲,껾,녊,뎖,뗢,렮,멺,볆,뼒,셞,쎪,엶,졂,쪎,쳚,켦,텲,펾,혊
ㅖ,곎,꼚,녦,뎲,뗾,롊,몖,볢,뼮,셺,쏆,옒,졞,쪪,쳶,콂,톎,폚,혦
ㅗ,곪,꼶,놂,돎,똚,롦,몲,볾,뽊,솖,쏢,옮,졺,쫆,촒,콞,톪,폶,홂
ㅛ,굚,꾦,뇲,됾,뚊,룖,묢,뵮,뾺,숆,쑒,욞,죪,쬶,춂,쿎,툚,푦,횲
ㅜ,굶,꿂,눎,둚,뚦,룲,묾,붊,뿖,숢,쑮,욺,줆,쭒,춞,쿪,툶,풂,훎
ㅠ,귦,뀲,뉾,듊,뜖,륢,뮮,뷺,쁆,슒,쓞,윪,쥶,쯂,츎,큚,튦,퓲,휾
ㅡ,긂,끎,늚,듦,뜲,륾,믊,븖,쁢,슮,쓺,읆,즒,쯞,츪,큶,틂,픎,흚
ㅣ,긺,낆,닒,딞,띪,릶,밂,빎,삚,싦,씲,읾,짊,찖,칢,킮,틺,핆,힒
ㅘ,괆,꽒,놞,돪,똶,뢂,뫎,봚,뽦,솲,쏾,왊,좖,쫢,촮,콺,퇆,퐒,홞
ㅚ,괾,꾊,뇖,됢,뙮,뢺,묆,뵒,뾞,쇪,쐶,욂,죎,쬚,쵦,쾲,퇾,푊,횖
ㅙ,괢,꽮,놺,됆,뙒,뢞,뫪,봶,뾂,쇎,쐚,왦,좲,쫾,쵊,쾖,퇢,퐮,홺
ㅝ,궒,꿞,눪,둶,뛂,뤎,뭚,붦,뿲,숾,쒊,웖,줢,쭮,춺,퀆,퉒,풞,훪
ㅟ,귊,뀖,뉢,뒮,뛺,륆,뮒,뷞,쀪,쉶,쓂,윎,쥚,쮦,췲,퀾,튊,퓖,휢
ㅞ,궮,꿺,뉆,뒒,뛞,뤪,뭶,뷂,쀎,쉚,쒦,웲,줾,쮊,췖,퀢,퉮,풺,휆
ㅢ,긞,끪,늶,딂,띎,릚,믦,븲,쁾,싊,씖,읢,즮,쯺,칆,킒,틞,픪,흶
