/,ㄱ,ㄲ,ㄴ,ㄷ,ㄸ,ㄹ,ㅁ,ㅂ,ㅃ,ㅅ,ㅆ,ㅇ,ㅈ,ㅉ,ㅊ,ㅋ,ㅌ,ㅍ,ㅎ
ㅏ,갌,깘,낤,닰,딼,랈,맔,밠,빬,삸,쌄,앐,잜,짨,찴,캀,탌,팘,핤
ㅐ,갨,깴,냀,댌,땘,랤,맰,밼,뺈,샔,쌠,앬,잸,쨄,챐,캜,탨,팴,햀
ㅑ,걄,꺐,냜,댨,땴,럀,먌,뱘,뺤,샰,쌼,얈,쟔,쨠,챬,캸,턄,퍐,햜
ㅒ,걠,꺬,냸,덄,떐,럜,먨,뱴,뻀,섌,썘,얤,쟰,쨼,첈,컔,턠,퍬,햸
ㅓ,걼,껈,넔,덠,떬,럸,멄,벐,뻜,섨,썴,엀,젌,쩘,첤,컰,턼,펈,헔
ㅔ,겘,껤,넰,덼,뗈,렔,멠,벬,뻸,셄,쏈,엜,젨,쩴,쳀,켌,텘,펤,헰
ㅕ,겴,꼀,녌,뎘,뗤,렰,멼,볈,뼔,셠,쎬,엸,졄,쪐,쳜,켨,텴,폀,혌
ㅖ,곐,꼜,녨,뎴,똀,롌,몘,볤,뼰,셼,쏈,옔,졠,쪬,쳸,콄,톐,폜,혨
ㅗ,곬,꼸,놄,돐,똜,롨,몴,봀,뽌,솘,쏤,옰,졼,쫈,촔,콠,톬,폸,홄
ㅛ,굜,꾨,뇴,둀,뚌,룘,묤,뵰,뾼,숈,쑔,욠,죬,쬸,춄,쿐,툜,푨,횴
ㅜ,굸,꿄,눐,둜,뚨,룴,뭀,붌,뿘,숤,쑰,욼,줈,쭔,춠,쿬,툸,풄,훐
ㅠ,귨,뀴,늀,듌,뜘,륤,뮰,뷼,쁈,슔,쓠,윬,쥸,쯄,츐,큜,튨,퓴,흀
ㅡ,긄,끐,늜,듨,뜴,릀,믌,븘,쁤,슰,쓼,읈,즔,쯠,츬,큸,틄,픐,흜
ㅣ,긼,낈,닔,딠,띬,릸,밄,빐,삜,싨,씴,잀,짌,찘,칤,킰,틼,핈,힔
ㅘ,괈,꽔,놠,돬,똸,뢄,뫐,봜,뽨,솴,쐀,왌,좘,쫤,촰,콼,퇈,퐔,홠
ㅚ,굀,꾌,뇘,됤,뙰,뢼,묈,뵔,뾠,쇬,쐸,욄,죐,쬜,쵨,쾴,툀,푌,횘
ㅙ,괤,꽰,놼,됈,뙔,뢠,뫬,봸,뾄,쇐,쐜,왨,좴,쬀,쵌,쾘,퇤,퐰,홼
ㅝ,궔,꿠,눬,둸,뛄,뤐,뭜,붨,뿴,쉀,쒌,웘,줤,쭰,춼,퀈,퉔,풠,훬
ㅟ,귌,뀘,뉤,뒰,뛼,륈,뮔,뷠,쀬,쉸,쓄,윐,쥜,쮨,췴,큀,튌,퓘,휤
ㅞ,궰,꿼,뉈,뒔,뛠,뤬,뭸,뷄,쀐,쉜,쒨,웴,쥀,쮌,췘,퀤,퉰,풼,휈
ㅢ,긠,끬,늸,딄,띐,릜,믨,븴,삀,싌,씘,읤,즰,쯼,칈,킔,틠,픬,흸
