/,ㄱ,ㄲ,ㄴ,ㄷ,ㄸ,ㄹ,ㅁ,ㅂ,ㅃ,ㅅ,ㅆ,ㅇ,ㅈ,ㅉ,ㅊ,ㅋ,ㅌ,ㅍ,ㅎ
ㅏ,값,깞,낪,닶,땂,랎,맚,밦,빲,삾,쌊,앖,잢,짮,찺,캆,탒,팞,핪
ㅐ,갮,깺,냆,댒,땞,랪,맶,뱂,뺎,샚,쌦,앲,잾,쨊,챖,캢,탮,팺,햆
ㅑ,걊,꺖,냢,댮,땺,럆,먒,뱞,뺪,샶,썂,얎,쟚,쨦,챲,캾,턊,퍖,햢
ㅒ,걦,꺲,냾,덊,떖,럢,먮,뱺,뻆,섒,썞,얪,쟶,쩂,첎,컚,턦,퍲,햾
ㅓ,겂,껎,넚,덦,떲,럾,멊,벖,뻢,섮,썺,없,젒,쩞,첪,컶,텂,펎,헚
ㅔ,겞,껪,넶,뎂,뗎,렚,멦,벲,뻾,셊,쎖,엢,젮,쩺,쳆,켒,텞,펪,헶
ㅕ,겺,꼆,녒,뎞,뗪,렶,몂,볎,뼚,셦,쎲,엾,졊,쪖,쳢,켮,텺,폆,혒
ㅖ,곖,꼢,녮,뎺,똆,롒,몞,볪,뼶,솂,쏎,옚,졦,쪲,쳾,콊,톖,폢,혮
ㅗ,곲,꼾,놊,돖,똢,롮,몺,봆,뽒,솞,쏪,옶,좂,쫎,촚,콦,톲,폾,홊
ㅛ,굢,꾮,뇺,둆,뚒,룞,묪,뵶,뿂,숎,쑚,욦,죲,쬾,춊,쿖,툢,푮,횺
ㅜ,굾,꿊,눖,둢,뚮,룺,뭆,붒,뿞,숪,쑶,웂,줎,쭚,춦,쿲,툾,풊,훖
ㅠ,귮,뀺,늆,듒,뜞,륪,뮶,븂,쁎,슚,쓦,윲,쥾,쯊,츖,큢,튮,퓺,흆
ㅡ,긊,끖,늢,듮,뜺,릆,믒,븞,쁪,슶,씂,읎,즚,쯦,츲,큾,틊,픖,흢
ㅣ,깂,낎,닚,딦,띲,릾,밊,빖,삢,싮,씺,잆,짒,찞,칪,킶,팂,핎,힚
ㅘ,괎,꽚,놦,돲,똾,뢊,뫖,봢,뽮,솺,쐆,왒,좞,쫪,촶,쾂,퇎,퐚,홦
ㅚ,굆,꾒,뇞,됪,뙶,룂,묎,뵚,뾦,쇲,쐾,욊,죖,쬢,쵮,쾺,툆,푒,횞
ㅙ,괪,꽶,뇂,됎,뙚,뢦,뫲,봾,뾊,쇖,쐢,왮,좺,쬆,쵒,쾞,퇪,퐶,횂
ㅝ,궚,꿦,눲,둾,뛊,뤖,뭢,붮,뿺,쉆,쒒,웞,줪,쭶,췂,퀎,퉚,풦,훲
ㅟ,귒,뀞,뉪,뒶,뜂,륎,뮚,뷦,쀲,쉾,쓊,윖,쥢,쮮,췺,큆,튒,퓞,휪
ㅞ,궶,뀂,뉎,뒚,뛦,뤲,뭾,뷊,쀖,쉢,쒮,웺,쥆,쮒,췞,퀪,퉶,퓂,휎
ㅢ,긦,끲,늾,딊,띖,릢,믮,븺,삆,싒,씞,읪,즶,찂,칎,킚,틦,픲,흾
