/,ㄱ,ㄲ,ㄴ,ㄷ,ㄸ,ㄹ,ㅁ,ㅂ,ㅃ,ㅅ,ㅆ,ㅇ,ㅈ,ㅉ,ㅊ,ㅋ,ㅌ,ㅍ,ㅎ
ㅏ,갔,깠,났,닸,땄,랐,맜,밨,빴,샀,쌌,았,잤,짰,찼,캈,탔,팠,핬
ㅐ,갰,깼,냈,댔,땠,랬,맦,뱄,뺐,샜,쌨,앴,쟀,쨌,챘,캤,탰,팼,했
ㅑ,걌,꺘,냤,댰,땼,럈,먔,뱠,뺬,샸,썄,얐,쟜,쨨,챴,컀,턌,퍘,햤
ㅒ,걨,꺴,넀,덌,떘,럤,먰,뱼,뻈,섔,썠,얬,쟸,쩄,첐,컜,턨,퍴,헀
ㅓ,겄,껐,넜,덨,떴,렀,멌,벘,뻤,섰,썼,었,젔,쩠,첬,컸,텄,펐,헜
ㅔ,겠,껬,넸,뎄,뗐,렜,멨,벴,뼀,셌,쎘,엤,젰,쩼,쳈,켔,텠,펬,헸
ㅕ,겼,꼈,녔,뎠,뗬,렸,몄,볐,뼜,셨,쎴,였,졌,쪘,쳤,켰,텼,폈,혔
ㅖ,곘,꼤,녰,뎼,똈,롔,몠,볬,뼸,솄,쏐,엤,젰,쪴,쳿,콌,톘,폤,혰
ㅗ,곴,꽀,놌,돘,똤,롰,몼,봈,뽔,솠,쏬,옸,좄,쫐,촜,콨,톴,퐀,홌
ㅛ,굤,꾰,뇪,둈,뚔,룠,묬,뵸,뿄,숐,쑜,욨,죴,쭀,춌,쿘,툤,푰,횼
ㅜ,궀,꿌,눘,둤,뚰,룼,뭈,붔,뿠,숬,쑸,웄,줐,쭜,춨,쿴,퉀,풌,훘
ㅠ,귰,뀼,늈,듔,뜠,륬,뮸,븄,쁐,슜,쓨,윴,즀,쯌,츘,큤,튰,퓼,흈
ㅡ,긌,끘,늤,듰,뜼,릈,믔,븠,쁬,슸,씄,읐,즜,쯨,츴,킀,틌,픘,흤
ㅣ,깄,낐,닜,딨,띴,맀,밌,빘,삤,싰,씼,있,짔,찠,칬,킸,팄,핐,힜
ㅘ,괐,꽜,놨,돴,뙀,뢌,뫘,봤,뽰,솼,쐈,왔,좠,쫬,촸,쾄,퇐,퐜,홨
ㅚ,굈,꾔,뇠,됬,뙸,룄,묐,뵜,뾨,쇴,쑀,욌,죘,쬤,쵰,쾼,툈,푔,횠
ㅙ,괬,꽸,뇄,됐,뙜,뢨,뫴,뵀,뾌,쇘,쐤,왰,좼,쬈,쵔,쾠,퇬,퐸,횄
ㅝ,궜,꿨,눴,뒀,뛋,뤘,뭤,붰,뿻,쉈,쒔,웠,줬,쭸,췄,퀐,퉜,풨,훴
ㅟ,귔,뀠,뉬,뒸,뜄,륐,뮜,뷨,쀴,슀,쓌,윘,쥤,쮰,췼,큈,튔,퓠,휬
ㅞ,궸,뀄,뉐,뒜,뛨,뤴,뮀,뷌,쀘,쉤,쒰,웼,쥈,쮔,췠,퀬,퉸,퓄,휐
ㅢ,긨,끴,닀,딌,띘,릤,믰,븼,삇,싔,씠,읬,즸,찄,칐,킜,틨,픴,힀
