/,ㄱ,ㄲ,ㄴ,ㄷ,ㄸ,ㄹ,ㅁ,ㅂ,ㅃ,ㅅ,ㅆ,ㅇ,ㅈ,ㅉ,ㅊ,ㅋ,ㅌ,ㅍ,ㅎ
ㅏ,강,깡,낭,당,땅,랑,망,방,빵,상,쌍,앙,장,짱,창,캉,탕,팡,항
ㅐ,갱,깽,냉,댕,땡,랭,맹,뱅,뺑,생,쌩,앵,쟁,쨍,챙,캥,탱,팽,행
ㅑ,걍,꺙,냥,댱,땽,량,먕,뱡,뺭,샹,썅,양,쟝,쨩,챵,컁,턍,퍙,향
ㅒ,걩,꺵,넁,덍,떙,럥,먱,뱽,뻉,섕,썡,얭,쟹,쩅,첑,컝,턩,퍵,헁
ㅓ,겅,껑,넝,덩,떵,렁,멍,벙,뻥,성,썽,엉,정,쩡,청,컹,텅,펑,헝
ㅔ,겡,껭,넹,뎅,뗑,렝,멩,벵,뼁,셍,쎙,엥,젱,쩽,쳉,켕,텡,펭,헹
ㅕ,경,꼉,녕,뎡,뗭,령,명,병,뼝,셩,쎵,영,졍,쪙,쳥,켱,텽,평,형
ㅖ,곙,꼥,녱,뎽,똉,롕,몡,볭,뼹,솅,쏑,옝,졩,쪵,촁,콍,톙,폥,혱
ㅗ,공,꽁,농,동,똥,롱,몽,봉,뽕,송,쏭,옹,종,쫑,총,콩,통,퐁,홍
ㅛ,굥,꾱,뇽,둉,뚕,룡,묭,뵹,뿅,숑,쑝,용,죵,쭁,춍,쿙,툥,푱,횽
ㅜ,궁,꿍,눙,둥,뚱,룽,뭉,붕,뿡,숭,쑹,웅,중,쭝,충,쿵,퉁,풍,훙
ㅠ,귱,뀽,늉,듕,뜡,륭,뮹,븅,쁑,슝,쓩,융,즁,쯍,츙,큥,튱,퓽,흉
ㅡ,긍,끙,능,등,뜽,릉,믕,븡,쁭,승,씅,응,증,쯩,층,킁,틍,픙,흥
ㅣ,깅,낑,닝,딩,띵,링,밍,빙,삥,싱,씽,잉,징,찡,칭,킹,팅,핑,힝
ㅘ,광,꽝,놩,돵,뙁,뢍,뫙,봥,뽱,솽,쐉,왕,좡,쫭,촹,쾅,퇑,퐝,황
ㅚ,굉,꾕,뇡,됭,뙹,룅,묑,뵝,뾩,쇵,쑁,욍,죙,쬥,쵱,쾽,툉,푕,횡
ㅙ,괭,꽹,뇅,됑,뙝,뢩,뫵,뵁,뾍,쇙,쐥,왱,좽,쬉,쵕,쾡,퇭,퐹,횅
ㅝ,궝,꿩,눵,뒁,뛍,뤙,뭥,붱,뿽,쉉,쒕,웡,줭,쭹,췅,퀑,퉝,풩,훵
ㅟ,귕,뀡,뉭,뒹,뜅,륑,뮝,뷩,쀵,슁,쓍,윙,쥥,쮱,췽,큉,튕,퓡,휭
ㅞ,궹,뀅,뉑,뒝,뛩,뤵,뮁,뷍,쀙,쉥,쒱,웽,쥉,쮕,췡,퀭,퉹,퓅,휑
ㅢ,긩,끵,닁,딍,띙,릥,믱,븽,삉,싕,씡,읭,즹,찅,칑,킝,틩,픵,힁
