/,ㄱ,ㄲ,ㄴ,ㄷ,ㄸ,ㄹ,ㅁ,ㅂ,ㅃ,ㅅ,ㅆ,ㅇ,ㅈ,ㅉ,ㅊ,ㅋ,ㅌ,ㅍ,ㅎ
ㅏ,갗,깣,낯,닻,땇,랓,맟,밫,빷,샃,쌏,앛,잧,짳,찿,캋,탗,팣,핯
ㅐ,갳,깿,냋,댗,떛,랯,맻,뱇,뺓,샟,쌫,앷,쟃,쨏,챛,캧,탳,팿,햋
ㅑ,걏,꺛,냧,댳,땿,럋,먗,뱣,뺯,샻,썇,얓,쟟,쨫,챷,컃,턏,퍛,햧
ㅒ,걫,꺷,넃,덏,떛,럧,먳,뱿,뻋,섗,썣,얯,쟻,쩇,첓,컟,턫,퍷,헃
ㅓ,겇,껓,넟,덫,떷,렃,멏,벛,뻧,섳,썿,엋,젗,쩣,첯,컻,텇,펓,헟
ㅔ,겣,껯,넻,뎇,뗓,렟,멫,벷,뼃,셏,쎛,엧,젳,쩿,쳋,켗,텣,펯,헻
ㅕ,겿,꼋,녗,뎣,뗯,렻,몇,볓,뼟,셫,쎷,옃,졏,쪛,쳧,켳,텿,폋,혗
ㅖ,곛,꼧,녳,뎿,똋,롗,몣,볯,뼻,솇,쏓,옟,졫,쪷,촃,콏,톛,폧,혳
ㅗ,곷,꽃,놏,돛,똧,롳,몿,봋,뽗,솣,쏯,옻,좇,쫓,촟,콫,톷,퐃,홏
ㅛ,굧,꾳,뇿,둋,뚗,룣,묯,뵻,뿇,숓,쑟,욫,죷,쭃,춏,쿛,툧,푳,횿
ㅜ,궃,꿏,눛,둧,뚳,룿,뭋,붗,뿣,숯,쑻,웇,줓,쭟,춫,쿷,퉃,풏,훛
ㅠ,귳,뀿,늋,듗,뜣,륯,뮻,븇,쁓,슟,쓫,윷,즃,쯏,츛,큧,튳,퓿,흋
ㅡ,긏,끛,늧,듳,뜿,릋,믗,븣,쁯,슻,씇,읓,즟,쯫,츷,킃,틏,픛,흧
ㅣ,깇,낓,닟,딫,띷,맃,및,빛,삧,싳,씿,잋,짗,찣,칯,킻,팇,핓,힟
ㅘ,괓,꽟,놫,돷,뙃,뢏,뫛,봧,뽳,솿,쐋,왗,좣,쫯,촻,쾇,퇓,퐟,홫
ㅚ,굋,꾗,뇣,됯,뙻,룇,묓,뵟,뾫,쇷,쑃,욏,죛,쬧,쵳,쾿,툋,푗,횣
ㅙ,괯,꽻,뇇,됓,뙟,뢫,뫷,뵃,뾏,쇛,쐧,왳,좿,쬋,쵗,쾣,퇯,퐻,횇
ㅝ,궟,꿫,눷,뒃,뛏,뤛,뭧,붳,뿿,쉋,쒗,웣,줯,쭻,췇,퀓,퉟,풫,훷
ㅟ,귗,뀣,뉯,뒻,뜇,륓,뮟,뷫,쀷,슃,쓏,윛,쥧,쮳,췿,큋,튗,퓣,휯
ㅞ,궻,뀇,뉓,뒟,뛫,뤷,뮃,뷏,쀛,쉧,쒳,웿,쥋,쮗,췣,퀯,퉻,퓇,휓
ㅢ,긫,끷,닃,딏,띛,릧,믳,븿,삋,싗,씣,읯,즻,찇,칓,킟,틫,픷,힃
