/,ㄱ,ㄲ,ㄴ,ㄷ,ㄸ,ㄹ,ㅁ,ㅂ,ㅃ,ㅅ,ㅆ,ㅇ,ㅈ,ㅉ,ㅊ,ㅋ,ㅌ,ㅍ,ㅎ
ㅏ,같,깥,낱,닽,땉,랕,맡,밭,빹,샅,쌑,앝,잩,짵,챁,캍,탙,팥,핱
ㅐ,갵,꺁,냍,댙,땥,랱,맽,뱉,뺕,샡,쌭,앹,쟅,쨑,챝,캩,탵,퍁,햍
ㅑ,걑,깥,냩,댵,떁,럍,먙,뱥,뺱,샽,썉,얕,쟡,쨭,챹,컅,턑,퍝,햩
ㅒ,걭,꺹,넅,덑,떝,럩,먵,벁,뻍,섙,썥,얱,쟽,쩉,첕,컡,턭,퍹,헅
ㅓ,겉,껕,넡,덭,떹,렅,멑,벝,뻩,섵,쎁,엍,젙,쩥,첱,컽,텉,펕,헡
ㅔ,겥,껱,넽,뎉,뗕,렡,멭,벹,뼅,셑,쎝,엩,젵,쪁,쳍,켙,텥,펱,헽
ㅕ,곁,꼍,녙,뎥,뗱,렽,몉,볕,뼡,셭,쎹,옅,졑,쪝,쳩,켵,톁,폍,혙
ㅖ,곝,꼩,녵,돁,똍,롙,몥,볱,뼽,솉,쏕,옡,졭,쪹,촅,콑,톝,폩,혵
ㅗ,곹,꽅,놑,돝,똩,롵,뫁,봍,뽙,솥,쏱,옽,좉,쫕,촡,콭,톹,퐅,홑
ㅛ,굩,꾵,눁,둍,뚙,룥,묱,뵽,뿉,숕,쑡,욭,죹,쭅,춑,쿝,툩,푵,훁
ㅜ,궅,꿑,눝,둩,뚵,뤁,뭍,붙,뿥,숱,쑽,웉,줕,쭡,춭,쿹,퉅,풑,훝
ㅠ,귵,끁,늍,듙,뜥,륱,뮽,븉,쁕,슡,쓭,윹,즅,쯑,츝,큩,튵,픁,흍
ㅡ,긑,끝,늩,듵,띁,릍,믙,븥,쁱,슽,씉,읕,즡,쯭,츹,킅,틑,픝,흩
ㅣ,깉,낕,닡,딭,띹,맅,밑,빝,삩,싵,앁,잍,짙,찥,칱,킽,팉,핕,힡
ㅘ,괕,꽡,놭,돹,뙅,뢑,뫝,봩,뽵,쇁,쐍,왙,좥,쫱,촽,쾉,퇕,퐡,홭
ㅚ,굍,꾙,뇥,됱,뙽,룉,묕,뵡,뾭,쇹,쑅,욑,죝,쬩,쵵,쿁,툍,푙,횥
ㅙ,괱,꽽,뇉,됕,뙡,뢭,뫹,뵅,뾑,쇝,쐩,왵,죁,쬍,쵙,쾥,퇱,퐽,횉
ㅝ,궡,꿭,눹,뒅,뛑,뤝,뭩,붵,쀁,쉍,쒙,웥,줱,쭽,췉,퀕,퉡,풭,훹
ㅟ,귙,뀥,뉱,뒽,뜉,륕,뮡,뷭,쀹,슅,쓑,윝,쥩,쮵,츁,큍,튙,퓥,휱
ㅞ,궽,뀉,뉕,뒡,뛭,뤹,뮅,뷑,쀝,쉩,쒵,윁,쥍,쮙,췥,퀱,퉽,퓉,휕
ㅢ,긭,끹,닅,딑,띝,릩,믵,빁,삍,싙,씥,읱,즽,찉,칕,킡,틭,픹,힅
