/,ㅏ,ㅐ,ㅑ,ㅒ,ㅓ,ㅔ,ㅕ,ㅖ,ㅗ,ㅛ,ㅜ,ㅠ,ㅡ,ㅣ,ㅘ,ㅚ,ㅙ,ㅝ,ㅟ,ㅞ,ㅢ
:,나,내,냐,냬,너,네,녀,녜,노,뇨,누,뉴,느,니,놔,뇌,놰,눠,뉘,눼,늬
ㄱ,낙,낵,냑,냭,넉,넥,녁,녝,녹,뇩,눅,뉵,늑,닉,놕,뇍,놱,눡,뉙,눽,늭
ㄴ,난,낸,냔,냰,넌,넨,년,녠,논,뇬,눈,뉸,는,닌,놘,뇐,놴,눤,뉜,뉀,늰
ㄷ,낟,낻,냗,냳,넏,넫,녇,녣,녿,뇯,눋,뉻,늗,닏,놛,뇓,놷,눧,뉟,뉃,늳
ㄹ,날,낼,냘,냴,널,넬,녈,녤,놀,뇰,눌,뉼,늘,닐,놜,뇔,놸,눨,뉠,뉄,늴
ㅁ,남,냄,냠,냼,넘,넴,념,녬,놈,뇸,눔,늄,늠,님,놤,뇜,뇀,눰,뉨,뉌,늼
ㅂ,납,냅,냡,냽,넙,넵,녑,녭,놉,뇹,눕,늅,늡,닙,놥,뇝,뇁,눱,뉩,뉍,늽
ㅅ,낫,냇,냣,냿,넛,넷,녁,녯,놋,뇻,눗,늇,늣,닛,놧,뇟,뇃,눳,뉫,뉏,늿
ㅇ,낭,냉,냥,넁,넝,넹,녕,녱,농,뇽,눙,늉,능,닝,놩,뇡,뇅,눵,뉭,뉑,닁
ㅈ,낮,냊,냦,넂,넞,넺,녖,녲,놎,뇾,눚,늊,늦,닞,놪,뇢,뇆,눶,뉮,뉒,닂
ㅊ,낯,냋,냧,넃,넟,넻,녗,녳,놏,뇿,눛,늋,늧,닟,놫,뇣,뇇,눷,뉯,뉓,닃
ㅋ,낰,냌,냨,넄,넠,넼,녘,녴,놐,눀,눜,늌,늨,닠,놬,뇤,뇈,눸,뉰,뉔,닄
ㅌ,낱,냍,냩,넅,넡,넽,녙,녵,놑,눁,눝,늍,늩,닡,놭,뇥,뇉,눹,뉱,뉕,닅
ㅍ,낲,냎,냪,넆,넢,넾,녚,녶,높,눂,눞,늎,늪,닢,놮,뇦,뇊,눺,뉲,뉖,닆
ㅎ,낳,냏,냫,넇,넣,넿,녛,녷,놓,눃,눟,늏,늫,닣,놯,뇧,뇋,눻,뉳,뉗,닇
ㄲ,낚,낶,냒,냮,넊,넦,녂,녞,녺,뇪,눆,뉶,늒,닊,놖,뇎,놲,눢,뉚,눾,늮
ㄳ,낛,낷,냓,냯,넋,넧,녃,녟,녻,뇫,눇,뉷,늓,닋,놗,뇏,놳,눣,뉛,눿,늯
ㄵ,낝,낹,냕,냱,넍,넩,녅,녡,녽,뇭,눉,뉹,늕,닍,놙,뇑,놵,눥,뉝,뉁,늱
ㄶ,낞,낺,냖,냲,넎,넪,녆,녢,녾,뇮,눊,뉺,늖,닎,놚,뇒,놶,눦,뉞,뉂,늲
ㄺ,낡,낽,냙,냵,넑,넭,녉,녥,놁,뇱,눍,뉽,늙,닑,놝,뇕,놹,눩,뉡,뉅,늵
ㄻ,낢,낾,냚,냶,넒,넮,녊,녦,놂,뇲,눎,뉾,늚,닒,놞,뇖,놺,눪,뉢,뉆,늶
ㄼ,낣,낿,냛,냷,넓,넯,녋,녧,놃,뇳,눏,뉿,늛,닓,놟,뇗,놻,눫,뉣,뉇,늷
ㄽ,낤,냀,냜,냸,넔,넰,녌,녨,놄,뇴,눐,늀,늜,닔,놠,뇘,놼,눬,뉤,뉈,늸
ㄾ,낥,냁,냝,냹,넕,넱,녍,녩,놅,뇵,눑,늁,늝,닕,놡,뇙,놽,눭,뉥,뉉,늹
ㄿ,낦,냂,냞,냺,넖,넲,녎,녪,놆,뇵,눒,늂,늞,닖,놢,뇚,놾,눮,뉦,뉊,늺
ㅀ,낧,냃,냟,냻,넗,넳,녏,녫,놇,뇷,눓,늃,늟,닗,놣,뇛,놿,눯,뉧,뉋,늻
ㅄ,낪,냆,냢,냾,넚,넶,녒,녮,놊,뇺,눖,늆,늢,닚,놦,뇞,뇂,눲,뉪,뉎,늾
ㅆ,났,냈,냤,넀,넜,넸,녔,녰,놌,뇪,눘,늈,늤,닜,놨,뇠,뇄,눴,뉬,뉐,닀
