/,ㅏ,ㅐ,ㅑ,ㅒ,ㅓ,ㅔ,ㅕ,ㅖ,ㅗ,ㅛ,ㅜ,ㅠ,ㅡ,ㅣ,ㅘ,ㅚ,ㅙ,ㅝ,ㅟ,ㅞ,ㅢ
:,싸,쌔,쌰,썌,써,쎄,쎠,쎼,쏘,쑈,쑤,쓔,쓰,씨,쏴,쐬,쐐,쒀,쒸,쒜,씌
ㄱ,싹,쌕,쌱,썍,썩,쎅,쎡,쎽,쏙,쑉,쑥,쓕,쓱,씩,쏵,쐭,쐑,쒁,쒹,쒝,씍
ㄴ,싼,쌘,쌴,썐,썬,쎈,쎤,쏀,쏜,쑌,쑨,쓘,쓴,씬,쏸,쐰,쐔,쒄,쒼,쒠,씐
ㄷ,싿,쌛,쌷,썓,썯,쎋,쎧,쏃,쏟,쑏,쑫,쓛,쓷,씯,쏻,쐳,쐗,쒇,쒿,쒣,씓
ㄹ,쌀,쌜,쌸,썔,썰,쎌,쎨,쏄,쏠,쑐,쑬,쓜,쓸,씰,쏼,쐴,쐘,쒈,쓀,쒤,씔
ㅁ,쌈,쌤,썀,썜,썸,쎔,쎰,쏌,쏨,쑘,쑴,쓤,씀,씸,쐄,쐼,쐠,쒐,쓈,쒬,씜
ㅂ,쌉,쌥,썁,썝,썹,쎕,쎱,쏍,쏩,쑙,쑵,쓥,씁,씹,쐅,쐽,쐡,쒑,쓉,쒭,씝
ㅅ,쌋,쌧,썃,썟,썻,쎗,쎳,쏏,쏫,쑛,쑷,쓧,씃,씻,쐇,쐿,쐣,쒓,쓋,쒯,씟
ㅇ,쌍,쌩,썅,썡,썽,쎙,쎵,쏑,쏭,쑝,쑹,쓩,씅,씽,쐉,쑁,쐥,쒕,쓍,쒱,씡
ㅈ,쌎,쌪,썆,썢,썾,쎚,쎶,쏒,쏮,쑞,쑺,쓪,씆,씾,쐊,쑂,쐦,쒖,쓎,쒲,씢
ㅊ,쌏,쌫,썇,썣,썿,쎛,쎷,쏓,쏯,쑟,쑻,쓫,씇,씿,쐋,쑃,쐧,쒗,쓏,쒳,씣
ㅋ,쌐,쌬,썈,썤,쎀,쎜,쎸,쏔,쏰,쑠,쑼,쓬,씈,앀,쐌,쑄,쐨,쒘,쓐,쒴,씤
ㅌ,쌑,쌭,썉,썥,쎁,쎝,쎹,쏕,쏱,쑡,쑽,쓭,씉,앁,쐍,쑅,쐩,쒙,쓑,쒵,씥
ㅍ,쌒,쌮,썊,썦,쎂,쎞,쎺,쏖,쏲,쑢,쑾,쓮,씊,앂,쐎,쑆,쐪,쒚,쓒,쒶,씦
ㅎ,쌓,쌯,썋,썧,쎃,쎟,쎻,쏗,쏳,쑣,쑿,쓯,씋,앃,쐏,쑇,쐫,쒛,쓓,쒷,씧
ㄲ,싺,쌖,쌲,썎,썪,쎆,쎢,쎾,쏚,쑊,쑦,쓖,쓲,씪,쏶,쐮,쐒,쒂,쒺,쒞,씎
ㄳ,싻,쌗,쌳,썏,썫,쎇,쎣,쎿,쏛,쑋,쑧,쓗,쓳,씫,쏷,쐯,쐓,쒃,쒻,쒟,씏
ㄵ,싽,쌙,쌵,썑,썭,쎉,쎥,쏁,쏝,쑍,쑩,쓙,쓵,씭,쏹,쐱,쐕,쒅,쒽,쒡,씑
ㄶ,싾,쌚,쌶,썒,썮,쎊,쎦,쏂,쏞,쑎,쑪,쓚,쓶,씮,쏺,쐲,쐖,쒆,쒾,쒢,씒
ㄺ,쌁,쌝,쌹,썕,썱,쎍,쎩,쏅,쏡,쑑,쑭,쓝,쓹,씱,쏽,쐵,쐙,쒉,쓁,쒥,씕
ㄻ,쌂,쌞,쌺,쌞,썲,쎎,쎪,쏆,쏢,쑒,쑮,쓞,쓺,씲,쏾,쐶,쐚,쒊,쓂,쒦,씖
ㄼ,쌃,쌟,쌻,썗,썳,쎏,쎫,쏇,쏣,쑓,쑯,쓟,쓻,씳,쏿,쐷,쐛,쒋,쓃,쒧,씗
ㄽ,쌄,쌠,쌼,썘,썴,쏈,쎬,쏈,쏤,쑔,쑰,쓠,쓼,씴,쐀,쐸,쐜,쒌,쓄,쒨,씘
ㄾ,쌅,쌡,쌽,썙,썵,쎑,쎭,쏉,쏥,쑕,쑱,쓡,쓽,씵,쐁,쐹,쐝,쒍,쓅,쒩,씙
ㄿ,쌆,쌢,쌾,썚,썶,쎒,쎮,쏊,쏦,쑕,쑲,쓢,쓾,씶,쐂,쐺,쐞,쒎,쓆,쒪,씚
ㅀ,쌇,쌣,쌿,썛,썷,쎓,쎯,쏋,쏧,쑗,쑳,쓣,쓿,씷,쐃,쐻,쐟,쒏,쓇,쒫,씛
ㅄ,쌊,쌦,썂,썞,썺,쎖,쎲,쏎,쏪,쑚,쑶,쓦,씂,씺,쐆,쐾,쐢,쒒,쓊,쒮,씞
ㅆ,쌌,쌨,썄,썠,썼,쎘,쎴,쏐,쏬,쑜,쑸,쓨,씄,씼,쐈,쑀,쐤,쒔,쓌,쒰,씠
