/,ㅏ,ㅐ,ㅑ,ㅒ,ㅓ,ㅔ,ㅕ,ㅖ,ㅗ,ㅛ,ㅜ,ㅠ,ㅡ,ㅣ,ㅘ,ㅚ,ㅙ,ㅝ,ㅟ,ㅞ,ㅢ
:,아,애,야,얘,어,에,여,예,오,요,우,유,으,이,와,외,왜,워,위,웨,의
ㄱ,악,액,약,얙,억,엑,역,옉,옥,욕,욱,육,윽,익,왁,왹,왝,웍,윅,웩,읙
ㄴ,안,앤,얀,얜,언,엔,연,옌,온,욘,운,윤,은,인,완,왼,왠,원,윈,웬,읜
ㄷ,앋,앧,얃,얟,얻,엗,엳,옏,옫,욛,욷,윧,읃,읻,왇,왿,왣,웓,윋,웯,읟
ㄹ,알,앨,얄,얠,얼,엘,열,옐,올,욜,울,율,을,일,왈,욀,왤,월,윌,웰,읠
ㅁ,암,앰,얌,얨,엄,엠,염,옘,옴,욤,움,윰,음,임,왐,욈,왬,웜,윔,웸,읨
ㅂ,압,앱,얍,얩,업,엡,엽,옙,옵,욥,웁,윱,읍,입,왑,욉,왭,웝,윕,웹,읩
ㅅ,앗,앳,얏,얫,엇,엣,엿,옛,옷,욧,웃,윳,읏,잇,왓,욋,왯,웟,윗,웻,읫
ㅇ,앙,앵,양,얭,엉,엥,영,옝,옹,용,웅,융,응,잉,왕,욍,왱,웡,윙,웽,읭
ㅈ,앚,앶,얒,얮,엊,엦,혖,옞,옺,욪,웆,윶,읒,잊,왖,욎,왲,웢,윚,웾,읮
ㅊ,앛,앷,얓,얯,엋,엧,옃,옟,옻,욫,웇,윷,읓,잋,왗,욏,왳,웣,윛,웿,읯
ㅋ,앜,앸,얔,얰,엌,엨,옄,옠,옼,욬,웈,윸,읔,잌,왘,욐,왴,웤,윜,윀,읰
ㅌ,앝,앹,얕,얱,엍,엩,옅,옡,옽,욭,웉,윹,읕,잍,왙,욑,왵,웥,윝,윁,읱
ㅍ,앞,앺,얖,얲,엎,엪,옆,옢,옾,욮,웊,윺,읖,잎,왚,욒,왶,웦,윞,윂,읲
ㅎ,앟,앻,얗,얳,엏,엫,옇,옣,옿,욯,웋,윻,읗,잏,왛,욓,왷,웧,윟,윃,읳
ㄲ,앆,앢,앾,얚,얶,엒,엮,옊,옦,욖,욲,윢,윾,읶,왂,왺,왞,웎,윆,웪,읚
ㄳ,앇,앣,앿,얛,얷,엓,엯,옋,옧,욗,욳,윣,윿,읷,왃,왻,왟,웏,윇,웫,읛
ㄵ,앉,앥,얁,얝,얹,엕,엱,옍,옩,욙,욵,윥,읁,읹,왅,왽,왡,웑,윉,웭,읝
ㄶ,않,앦,얂,얞,얺,엖,엲,옎,옪,욚,욶,윦,읂,읺,왆,왾,왢,웒,윊,웮,읞
ㄺ,앍,앩,얅,얡,얽,엙,엵,옑,옭,욝,욹,윩,읅,읽,왉,욁,왥,웕,윍,웱,읡
ㄻ,앎,앪,얆,얢,얾,엚,엶,옒,옮,욞,욺,윪,읆,읾,왊,욂,왦,웖,윎,웲,읢
ㄼ,앏,앫,얇,얣,얿,엛,엷,옓,옯,욟,욻,윫,읇,읿,왋,욃,왧,웗,윏,웳,읣
ㄽ,앐,앬,얈,얤,엀,엜,엸,옔,옰,욠,욼,윬,읈,잀,왌,욄,왨,웘,윐,웴,읤
ㄾ,앑,앭,얉,얥,엁,엝,엹,옕,옱,욡,욽,윭,읉,잁,왍,욅,왩,웙,윑,웵,읥
ㄿ,앒,앮,얊,얦,엂,엞,엺,옖,옲,욡,욾,윮,읊,잂,왎,욆,왪,웚,윒,웶,읦
ㅀ,앓,앯,얋,얧,엃,엟,엻,옗,옳,욣,욿,윯,읋,잃,왏,욇,왫,웛,윓,웷,읧
ㅄ,앖,앲,얎,얪,없,엢,엾,옚,옶,욦,웂,윲,읎,잆,왒,욊,왮,웞,윖,웺,읪
ㅆ,았,앴,얐,얬,었,엤,였,엤,옸,욨,웄,윴,읐,있,왔,욌,왰,웠,윘,웼,읬
