/,ㅏ,ㅐ,ㅑ,ㅒ,ㅓ,ㅔ,ㅕ,ㅖ,ㅗ,ㅛ,ㅜ,ㅠ,ㅡ,ㅣ,ㅘ,ㅚ,ㅙ,ㅝ,ㅟ,ㅞ,ㅢ
:,자,재,쟈,쟤,저,제,져,졔,조,죠,주,쥬,즈,지,좌,죄,좨,줘,쥐,줴,즤
ㄱ,작,잭,쟉,쟥,적,젝,젹,졕,족,죡,죽,쥭,즉,직,좍,죅,좩,줙,쥑,줵,즥
ㄴ,잔,잰,쟌,쟨,전,젠,젼,졘,존,죤,준,쥰,즌,진,좐,죈,좬,줜,쥔,줸,즨
ㄷ,잗,잳,쟏,쟫,젇,젣,젿,졛,졷,죧,줃,쥳,즏,짇,좓,죋,좯,줟,쥗,줻,즫
ㄹ,잘,잴,쟐,쟬,절,젤,졀,졜,졸,죨,줄,쥴,즐,질,좔,죌,좰,줠,쥘,줼,즬
ㅁ,잠,잼,쟘,쟴,점,젬,졈,졤,좀,죰,줌,쥼,즘,짐,좜,죔,좸,줨,쥠,쥄,즴
ㅂ,잡,잽,쟙,쟵,접,젭,졉,졥,좁,죱,줍,쥽,즙,집,좝,죕,좹,줩,쥡,쥅,즵
ㅅ,잣,잿,쟛,쟷,젓,젯,졋,졧,좃,죳,줏,쥿,즛,짓,좟,죗,좻,줫,쥣,쥇,즷
ㅇ,장,쟁,쟝,쟹,정,젱,졍,졩,종,죵,중,즁,증,징,좡,죙,좽,줭,쥥,쥉,즹
ㅈ,잦,쟂,쟞,쟺,젖,젲,졎,졪,좆,죶,줒,즂,즞,짖,좢,죚,좾,줮,쥦,쥊,즺
ㅊ,잧,쟃,쟟,쟻,젗,젳,졏,졫,좇,죷,줓,즃,즟,짗,좣,죛,좿,줯,쥧,쥋,즻
ㅋ,잨,쟄,쟠,쟼,젘,젴,졐,졬,좈,죸,줔,즄,즠,짘,좤,죜,죀,줰,쥨,쥌,즼
ㅌ,잩,쟅,쟡,쟽,젙,젵,졑,졭,좉,죹,줕,즅,즡,짙,좥,죝,죁,줱,쥩,쥍,즽
ㅍ,잪,쟆,쟢,쟾,젚,젶,졒,졮,좊,죺,줖,즆,즢,짚,좦,죞,죂,줲,쥪,쥎,즾
ㅎ,잫,쟇,쟣,쟿,젛,젷,졓,졯,좋,죻,줗,즇,즣,짛,좧,죟,죃,줳,쥫,쥏,즿
ㄲ,잒,잮,쟊,쟦,젂,젞,젺,졖,졲,죢,죾,쥮,즊,짂,좎,죆,좪,줚,쥒,줶,즦
ㄳ,잓,잯,쟋,쟧,젃,젟,젻,졗,졳,죣,죿,쥯,즋,짃,좏,죇,좫,줛,쥓,줷,즧
ㄵ,잕,잱,쟍,쟩,젅,젡,젽,졙,졵,죥,줁,쥱,즍,짅,좑,죉,좭,줝,쥕,줹,즩
ㄶ,잖,잲,쟎,쟪,젆,젢,젾,졚,졶,죦,줂,쥲,즎,짆,좒,죊,좮,줞,쥖,줺,즪
ㄺ,잙,잵,쟑,쟭,젉,젥,졁,졝,졹,죩,줅,쥵,즑,짉,좕,죍,좱,줡,쥙,줽,즭
ㄻ,잚,잶,쟒,쟮,젊,젦,졂,졞,졺,죪,줆,쥶,즒,짊,좖,죎,좲,줢,쥚,줾,즮
ㄼ,잛,잷,쟓,쟯,젋,젧,졃,졟,졻,죫,줇,쥷,즓,짋,좗,죏,좳,줢,쥛,줿,즯
ㄽ,잜,잸,쟔,쟰,젌,젨,졄,졠,졼,죬,줈,쥸,즔,짌,좘,죐,좴,줤,쥜,쥀,즰
ㄾ,잝,잹,쟕,쟱,젍,젩,졅,졡,졽,죭,줉,쥹,즕,짍,좙,죑,좵,줥,쥝,쥁,즱
ㄿ,잞,잺,쟖,쟲,젎,젪,졆,졢,졾,죭,줊,쥺,즖,짎,좚,죒,좶,줦,쥞,쥂,즲
ㅀ,잟,잻,쟗,쟳,젏,젫,졇,졣,졿,죯,줋,쥻,즗,짏,좛,죓,좷,줧,쥟,쥃,즳
ㅄ,잢,잾,쟚,쟶,젒,젮,졊,졦,좂,죲,줎,쥾,즚,짒,좞,죖,좺,줪,쥢,쥆,즶
ㅆ,잤,쟀,쟜,쟸,젔,젰,졌,젰,좄,죴,줐,즀,즜,짔,좠,죘,좼,줬,쥤,쥈,즸
