/,ㅏ,ㅐ,ㅑ,ㅒ,ㅓ,ㅔ,ㅕ,ㅖ,ㅗ,ㅛ,ㅜ,ㅠ,ㅡ,ㅣ,ㅘ,ㅚ,ㅙ,ㅝ,ㅟ,ㅞ,ㅢ
:,짜,째,쨔,쨰,쩌,쩨,쪄,쪠,쪼,쬬,쭈,쮸,쯔,찌,쫘,쬐,쫴,쭤,쮜,쮀,쯰
ㄱ,짝,짹,쨕,쨱,쩍,쩩,쪅,쪡,쪽,쬭,쭉,쮹,쯕,찍,쫙,쬑,쫵,쭥,쮝,쮁,쯱
ㄴ,짠,짼,쨘,쨴,쩐,쩬,쪈,쪤,쫀,쬰,쭌,쮼,쯘,찐,쫜,쬔,쫸,쭨,쮠,쮄,쯴
ㄷ,짣,짿,쨛,쨷,쩓,쩯,쪋,쪧,쫃,쬳,쭏,쮿,쯛,찓,쫟,쬗,쫻,쭫,쮣,쮇,쯷
ㄹ,짤,쨀,쨜,쨸,쩔,쩰,쪌,쪨,쫄,쬴,쭐,쯀,쯜,찔,쫠,쬘,쫼,쭬,쮤,쮈,쯸
ㅁ,짬,쨈,쨤,쩀,쩜,쩸,쪔,쪰,쫌,쬼,쭘,쯈,쯤,찜,쫨,쬠,쬄,쭴,쮬,쮐,찀
ㅂ,짭,쨉,쨥,쩁,쩝,쩹,쪕,쪱,쫍,쬽,쭙,쯉,쯥,찝,쫩,쬡,쬅,쭵,쮭,쮑,찁
ㅅ,짯,쨋,쨧,쩃,쩟,쩻,쪗,쪳,쫏,쬿,쭛,쯋,쯧,찟,쫫,쬣,쬇,쭷,쮯,쮓,찃
ㅇ,짱,쨍,쨩,쩅,쩡,쩽,쪙,쪵,쫑,쭁,쭝,쯍,쯩,찡,쫭,쬥,쬉,쭹,쮱,쮕,찅
ㅈ,짲,쨎,쨪,쩆,쩢,쩾,쪚,쪶,쫒,쭂,쭞,쯎,쯪,찢,쫮,쬦,쬊,쭺,쮲,쮖,찆
ㅊ,짳,쨏,쨫,쩇,쩣,쩿,쪛,쪷,쫓,쭃,쭟,쯏,쯫,찣,쫯,쬧,쬋,쭻,쮳,쮗,찇
ㅋ,짴,쨐,쨬,쩈,쩤,쪀,쪜,쪸,쫔,쭄,쭠,쯐,쯬,찤,쫰,쬨,쬌,쭼,쮴,쮘,찈
ㅌ,짵,쨑,쨭,쩉,쩥,쪁,쪝,쪹,쫕,쭅,쭡,쯑,쯭,찥,쫱,쬩,쬍,쭽,쮵,쮙,찉
ㅍ,짶,쨒,쨮,쩊,쩦,쪂,쪞,쪺,쫖,쭆,쭢,쯒,쯮,찦,쫲,쬪,쬎,쭾,쮶,쮚,찊
ㅎ,짷,쨓,쨯,쩋,쩧,쪃,쪟,쪻,쫗,쭇,쭣,쯓,쯯,찧,쫳,쬫,쬏,쭿,쮷,쮛,찋
ㄲ,짞,짺,쨖,쨲,쩎,쩪,쪆,쪢,쪾,쬮,쭊,쮺,쯖,찎,쫚,쬒,쫶,쭦,쮞,쮂,쯲
ㄳ,짟,짻,쨗,쨳,쩏,쩫,쪇,쪣,쪿,쬯,쭋,쮻,쯗,찏,쫛,쬓,쫷,쭧,쮟,쮃,쯳
ㄵ,짡,짽,쨙,쨵,쩑,쩭,쪉,쪥,쫁,쬱,쭍,쮽,쯙,찑,쫝,쬕,쫹,쭩,쮡,쮅,쯵
ㄶ,짢,짾,쨚,쨶,쩒,쩮,쪊,쪦,쫂,쬲,쭎,쮾,쯚,찒,쫞,쬖,쫺,쭪,쮢,쮆,쯶
ㄺ,짥,쨁,쨝,쨹,쩕,쩱,쪍,쪩,쫅,쬵,쭑,쯁,쯝,찕,쫡,쬙,쫽,쭭,쮥,쮉,쯹
ㄻ,짦,쨂,쨞,쨺,쩖,쩲,쪎,쪪,쫆,쬶,쭒,쯂,쯞,찖,쫢,쬚,쫾,쭮,쮦,쮊,쯺
ㄼ,짧,쨃,쨟,쨻,쩗,쩳,쪏,쪫,쫇,쬷,쭓,쯃,쯟,찗,쫣,쬛,쫿,쭮,쮧,쮋,쯻
ㄽ,짨,쨄,쨠,쨼,쩘,쩴,쪐,쪬,쫈,쬸,쭔,쯄,쯠,찘,쫤,쬜,쬀,쭰,쮨,쮌,쯼
ㄾ,짩,쨅,쨡,쨽,쩙,쩵,쪑,쩵,쫉,쬹,쭕,쯅,쯡,찙,쫥,쬝,쬁,쭱,쮩,쮍,쯽
ㄿ,짪,쨆,쨢,쨾,쩚,쩶,쪒,쪮,쫊,쬹,쭖,쯆,쯢,찚,쫦,쬞,쬂,쭲,쮪,쮎,쯾
ㅀ,짫,쨇,쨣,쨿,쩛,쩷,쪓,쪯,쫋,쬻,쭗,쯇,쯣,찛,쫧,쬟,쬃,쭳,쮫,쮏,쯿
ㅄ,짮,쨊,쨦,쩂,쩞,쩺,쪖,쪲,쫎,쬾,쭚,쯊,쯦,찞,쫪,쬢,쬆,쭶,쮮,쮒,찂
ㅆ,짰,쨌,쨨,쩄,쩠,쩼,쪘,쪴,쫐,쭀,쭜,쯌,쯨,찠,쫬,쬤,쬈,쭸,쮰,쮔,찄
