/,ㅏ,ㅐ,ㅑ,ㅒ,ㅓ,ㅔ,ㅕ,ㅖ,ㅗ,ㅛ,ㅜ,ㅠ,ㅡ,ㅣ,ㅘ,ㅚ,ㅙ,ㅝ,ㅟ,ㅞ,ㅢ
:,차,채,챠,챼,처,체,쳐,쳬,초,쵸,추,츄,츠,치,촤,최,쵀,춰,취,췌,츼
ㄱ,착,책,챡,챽,척,첵,쳑,쳭,촉,쵹,축,츅,측,칙,촥,쵝,쵁,춱,췩,췍,츽
ㄴ,찬,챈,챤,첀,천,첸,쳔,쳰,촌,쵼,춘,츈,츤,친,촨,쵠,쵄,춴,췬,췐,칀
ㄷ,찯,챋,챧,첃,첟,첻,쳗,쳳,촏,쵿,춛,츋,츧,칟,촫,쵣,쵇,춷,췯,췓,칃
ㄹ,찰,챌,챨,첄,철,첼,쳘,쳴,촐,춀,출,츌,츨,칠,촬,쵤,쵈,춸,췰,췔,칄
ㅁ,참,챔,챰,첌,첨,쳄,쳠,쳼,촘,춈,춤,츔,츰,침,촴,쵬,쵐,췀,췸,췜,칌
ㅂ,찹,챕,챱,첍,첩,쳅,쳡,쳽,촙,춉,춥,츕,츱,칩,촵,쵭,쵑,췁,췹,췝,칍
ㅅ,찻,챗,챳,첏,첫,쳇,쳣,쳿,촛,춋,춧,츗,츳,칫,촷,쵯,쵓,췃,췻,췟,칏
ㅇ,창,챙,챵,첑,청,쳉,쳥,촁,총,춍,충,츙,층,칭,촹,쵱,쵕,췅,췽,췡,칑
ㅈ,찾,챚,챶,첒,첮,쳊,쳦,촂,촞,춎,춪,츚,츶,칮,촺,쵲,쵖,췆,췾,췢,칒
ㅊ,찿,챛,챷,첓,첯,쳋,쳧,촃,촟,춏,춫,츛,츷,칯,촻,쵳,쵗,췇,췿,췣,칓
ㅋ,챀,챜,챸,첔,첰,쳌,쳨,촄,촠,춐,춬,츜,츸,칰,촼,쵴,쵘,췈,츀,췤,칔
ㅌ,챁,챝,챹,첕,첱,쳍,쳩,촅,촡,춑,춭,츝,츹,칱,촽,쵵,쵙,췉,츁,췥,칕
ㅍ,챂,챞,챺,첖,첲,쳎,쳪,촆,촢,춒,춮,츞,츺,칲,촾,쵶,쵚,췊,츂,췦,칖
ㅎ,챃,챟,챻,첗,첳,쳏,쳫,촇,촣,춓,춯,츟,츻,칳,촿,쵷,쵛,췋,츃,췧,칗
ㄲ,찪,챆,챢,챾,첚,첶,쳒,쳮,촊,쵺,춖,츆,츢,칚,촦,쵞,쵂,춲,췪,췎,츾
ㄳ,찫,챇,챣,챿,첛,첷,쳓,쳯,촋,쵻,춗,츇,츣,칛,촧,쵟,쵃,춳,췫,췏,츿
ㄵ,찭,챉,챥,첁,첝,첹,쳕,쳱,촍,쵽,춙,츉,츥,칝,촩,쵡,쵅,춵,췭,췑,칁
ㄶ,찮,챊,챦,첂,첞,첺,쳖,쳲,촎,쵾,춚,츊,츦,칞,촪,쵢,쵆,춶,췮,췒,칂
ㄺ,찱,챍,챩,첅,첡,첽,쳙,쳵,촑,춁,춝,츍,츩,칡,촭,쵥,쵉,춹,췱,췕,칅
ㄻ,찲,챎,챪,첆,첢,첾,쳚,쳶,촒,춂,춞,츎,츪,칢,촮,쵦,쵊,춺,췲,췖,칆
ㄼ,찳,챏,챫,첇,첣,첿,쳛,쳷,촓,춃,춟,츏,츫,칣,촯,쵧,쵋,춻,췳,췗,칇
ㄽ,찴,챐,챬,첈,첤,쳀,쳜,쳸,촔,춄,춠,츐,츬,칤,촰,쵨,쵌,춼,췴,췘,칈
ㄾ,찵,챑,챭,첉,첥,쳁,쳝,쳹,촕,춅,춡,츑,츭,칥,촱,쵩,쵍,춽,췵,췙,칉
ㄿ,찶,챒,챮,첊,첦,쳂,쳞,쳺,촖,춅,춢,츒,츮,칦,촲,쵪,쵎,춾,췶,췚,칊
ㅀ,찷,챓,챯,첋,첧,쳃,쳟,쳻,촗,춇,춣,츓,츯,칧,촳,쵫,쵏,춿,췷,췛,칋
ㅄ,찺,챖,챲,첎,첪,쳆,쳢,쳾,촚,춊,춦,츖,츲,칪,촶,쵮,쵒,췂,췺,췞,칎
ㅆ,찼,챘,챴,첐,첬,쳈,쳤,쳿,촜,춌,춨,츘,츴,칬,촸,쵰,쵔,췄,췼,췠,칐
