/,ㅏ,ㅐ,ㅑ,ㅒ,ㅓ,ㅔ,ㅕ,ㅖ,ㅗ,ㅛ,ㅜ,ㅠ,ㅡ,ㅣ,ㅘ,ㅚ,ㅙ,ㅝ,ㅟ,ㅞ,ㅢ
:,카,캐,캬,컈,커,케,켜,켸,코,쿄,쿠,큐,크,키,콰,쾨,쾌,쿼,퀴,퀘,킈
ㄱ,칵,캑,캭,컉,컥,켁,켝,켹,콕,쿅,쿡,큑,큭,킥,콱,쾩,쾍,쿽,퀵,퀙,킉
ㄴ,칸,캔,캰,컌,컨,켄,켠,켼,콘,쿈,쿤,큔,큰,킨,콴,쾬,쾐,퀀,퀸,퀜,킌
ㄷ,칻,캗,캳,컏,컫,켇,켣,켿,콛,쿋,쿧,큗,큳,킫,콷,쾯,쾓,퀃,퀻,퀟,킏
ㄹ,칼,캘,캴,컐,컬,켈,켤,콀,콜,쿌,쿨,큘,클,킬,콸,쾰,쾔,퀄,퀼,퀠,킐
ㅁ,캄,캠,캼,컘,컴,켐,켬,콈,콤,쿔,쿰,큠,큼,킴,쾀,쾸,쾜,퀌,큄,퀨,킘
ㅂ,캅,캡,캽,컙,컵,켑,켭,콉,콥,쿕,쿱,큡,큽,킵,쾁,쾹,쾝,퀍,큅,퀩,킙
ㅅ,캇,캣,캿,컛,컷,켓,켯,콋,콧,쿗,쿳,큣,큿,킷,쾃,쾻,쾟,퀏,큇,퀫,킛
ㅇ,캉,캥,컁,컝,컹,켕,켱,콍,콩,쿙,쿵,큥,킁,킹,쾅,쾽,쾡,퀑,큉,퀭,킝
ㅈ,캊,캦,컂,컞,컺,켖,켲,콎,콪,쿚,쿶,큦,킂,킺,쾆,쾾,쾢,퀒,큊,퀮,킞
ㅊ,캋,캧,컃,컟,컻,켗,켳,콏,콫,쿛,쿷,큧,킃,킻,쾇,쾿,쾣,퀓,큋,퀯,킟
ㅋ,캌,캨,컄,컠,컼,켘,켴,콐,콬,쿜,쿸,큨,킄,킼,쾈,쿀,쾤,퀔,큌,퀰,킠
ㅌ,캍,캩,컅,컡,컽,켙,켵,콑,콭,쿝,쿹,큩,킅,킽,쾉,쿁,쾥,퀕,큍,퀱,킡
ㅍ,캎,캪,컆,컢,컾,켚,켶,콒,콮,쿞,쿺,큪,킆,킾,쾊,쿂,쾦,퀖,큎,퀲,킢
ㅎ,캏,캫,컇,컣,컿,켛,켷,콓,콯,쿟,쿻,큫,킇,킿,쾋,쿃,쾧,퀗,큏,퀳,킣
ㄲ,칶,캒,캮,컊,컦,켂,켞,켺,콖,쿆,쿢,큒,큮,킦,콲,쾪,쾎,쿾,퀶,퀚,킊
ㄳ,칷,캓,캯,컋,컧,켃,켟,켻,콗,쿇,쿣,큓,큯,킧,콳,쾫,쾏,쿿,퀷,퀛,킋
ㄵ,칹,캕,캱,컍,컩,켅,켡,켽,콙,쿉,쿥,큕,큱,킩,콵,쾭,쾑,퀁,퀹,퀝,킍
ㄶ,칺,캖,캲,컎,컪,켆,켢,켾,콚,쿊,쿦,큖,큲,킪,콶,쾮,쾒,퀂,퀺,퀞,킎
ㄺ,칽,캙,캵,컑,컭,켉,켥,콁,콝,쿍,쿩,큙,큵,킭,콹,쾱,쾕,퀅,퀽,퀡,킑
ㄻ,칾,캚,캶,컒,컮,켊,켦,콂,콞,쿎,쿪,큚,큶,킮,콺,쾲,쾖,퀆,퀾,퀢,킒
ㄼ,칿,캛,캷,컓,컯,켋,켧,콃,콟,쿏,쿫,큛,큷,킯,콻,쾳,쾗,퀇,퀿,퀣,킓
ㄽ,캀,캜,캸,컔,컰,켌,켨,콄,콠,쿐,쿬,큜,큸,킰,콼,쾴,쾘,퀈,큀,퀤,킔
ㄾ,캁,캝,캹,컕,컱,켍,켩,콅,콡,쿑,쿭,큝,큹,킱,콽,쾵,쾙,퀉,큁,퀥,킕
ㄿ,캂,캞,캺,컖,컲,켎,켪,콆,콢,쿑,쿮,큞,큺,킲,콾,쾶,쾚,퀊,큂,퀦,킖
ㅀ,캃,캟,캻,컗,컳,켏,켫,콇,콣,쿓,쿯,큟,큻,킳,콿,쾷,쾛,퀋,큃,퀧,킗
ㅄ,캆,캢,캾,컚,컶,켒,켮,콊,콦,쿖,쿲,큢,큾,킶,쾂,쾺,쾞,퀎,큆,퀪,킚
ㅆ,캈,캤,컀,컜,컸,켔,켰,콌,콨,쿘,쿴,큤,킀,킸,쾄,쾼,쾠,퀐,큈,퀬,킜
