/,ㅏ,ㅐ,ㅑ,ㅒ,ㅓ,ㅔ,ㅕ,ㅖ,ㅗ,ㅛ,ㅜ,ㅠ,ㅡ,ㅣ,ㅘ,ㅚ,ㅙ,ㅝ,ㅟ,ㅞ,ㅢ
:,타,태,탸,턔,터,테,텨,톄,토,툐,투,튜,트,티,톼,퇴,퇘,퉈,튀,퉤,틔
ㄱ,탁,택,탹,턕,턱,텍,텩,톅,톡,툑,툭,튝,특,틱,톽,퇵,퇙,퉉,튁,퉥,틕
ㄴ,탄,탠,탼,턘,턴,텐,텬,톈,톤,툔,툰,튠,튼,틴,퇀,퇸,퇜,퉌,튄,퉨,틘
ㄷ,탇,탣,탿,턛,턷,텓,텯,톋,톧,툗,툳,튣,튿,틷,퇃,퇻,퇟,퉏,튇,퉫,틛
ㄹ,탈,탤,턀,턜,털,텔,텰,톌,톨,툘,툴,튤,틀,틸,퇄,퇼,퇠,퉐,튈,퉬,틜
ㅁ,탐,탬,턈,턤,텀,템,텸,톔,톰,툠,툼,튬,틈,팀,퇌,툄,퇨,퉘,튐,퉴,틤
ㅂ,탑,탭,턉,턥,텁,텝,텹,톕,톱,툡,툽,튭,틉,팁,퇍,툅,퇩,퉙,튑,퉵,틥
ㅅ,탓,탯,턋,턧,텃,텟,텻,톗,톳,툣,툿,튯,틋,팃,퇏,툇,퇫,퉛,튓,퉷,틧
ㅇ,탕,탱,턍,턩,텅,텡,텽,톙,통,툥,퉁,튱,틍,팅,퇑,툉,퇭,퉝,튕,퉹,틩
ㅈ,탖,탲,턎,턪,텆,텢,텾,톚,톶,툦,퉂,튲,틎,팆,퇒,툊,퇮,퉞,튖,퉺,틪
ㅊ,탗,탳,턏,턫,텇,텣,텿,톛,톷,툧,퉃,튳,틏,팇,퇓,툋,퇯,퉟,튗,퉻,틫
ㅋ,탘,탴,턐,턬,텈,텤,톀,톜,톸,툨,퉄,튴,틐,팈,퇔,툌,퇰,퉠,튘,퉼,틬
ㅌ,탙,탵,턑,턭,텉,텥,톁,톝,톹,툩,퉅,튵,틑,팉,퇕,툍,퇱,퉡,튙,퉽,틭
ㅍ,탚,탶,턒,턮,텊,텦,톂,톞,톺,툪,퉆,튶,틒,팊,퇖,툎,퇲,퉢,튚,퉾,틮
ㅎ,탛,탷,턓,턯,텋,텧,톃,톟,톻,툘,퉇,튷,틓,팋,퇗,툏,퇳,퉣,튛,퉿,틯
ㄲ,탂,탞,탺,턖,턲,텎,텪,톆,톢,툒,툮,튞,튺,틲,톾,퇶,퇚,퉊,튂,퉦,틖
ㄳ,탃,탟,탻,턗,턳,텏,텪,톇,톣,툓,툯,튟,튻,틳,톿,퇷,퇛,퉋,튃,퉧,틗
ㄵ,탅,탡,탽,턙,턵,텑,텭,톉,톥,툕,툱,튡,튽,틵,퇁,퇹,퇝,퉍,튅,퉩,틙
ㄶ,탆,탢,탾,턚,턶,텒,텮,톊,톦,툖,툲,튢,튾,틶,퇂,퇺,퇞,퉎,튆,퉪,틚
ㄺ,탉,탥,턁,턝,턹,텕,텱,톍,톩,툙,툵,튥,틁,틹,퇅,퇽,퇡,퉑,튉,퉭,틝
ㄻ,탊,탦,턂,턞,턺,텖,텲,톎,톪,툚,툶,튦,틂,틺,퇆,퇾,퇢,퉒,튊,퉮,틞
ㄼ,탋,탧,턃,턟,턻,텗,텳,톏,톫,툛,툷,튧,틃,틻,퇇,퇿,퇣,퉓,튋,퉯,틟
ㄽ,탌,탨,턄,턠,턼,텘,텴,톐,톬,툜,툸,튨,틄,틼,퇈,툀,퇤,퉔,튌,퉰,틠
ㄾ,탍,탩,턅,턡,턽,텙,텵,톑,톭,툝,툹,튩,틅,틽,퇉,툁,퇥,퉕,튍,퉱,틡
ㄿ,탎,탪,턆,턢,턾,텚,텶,톒,톮,툝,툺,튪,틆,틾,퇊,툂,퇦,퉖,튎,퉲,틢
ㅀ,탏,탫,턇,턣,턿,텛,텷,톓,톯,툟,툻,튫,틇,틿,퇋,툃,퇧,퉗,튏,퉳,틣
ㅄ,탒,탮,턊,턦,텂,텞,텺,톖,톲,툢,툾,튮,틊,팂,퇎,툆,퇪,퉚,튒,퉶,틦
ㅆ,탔,탰,턌,턨,텄,텠,텼,톘,톴,툤,퉀,튰,틌,팄,퇐,툈,퇬,퉜,튔,퉸,틨
