/,ㅏ,ㅐ,ㅑ,ㅒ,ㅓ,ㅔ,ㅕ,ㅖ,ㅗ,ㅛ,ㅜ,ㅠ,ㅡ,ㅣ,ㅘ,ㅚ,ㅙ,ㅝ,ㅟ,ㅞ,ㅢ
:,파,패,퍄,퍠,퍼,페,펴,폐,포,표,푸,퓨,프,피,퐈,푀,퐤,풔,퓌,풰,픠
ㄱ,팍,팩,퍅,퍡,퍽,펙,펵,폑,폭,푝,푹,퓩,픅,픽,퐉,푁,퐥,풕,퓍,풱,픡
ㄴ,판,팬,퍈,퍤,펀,펜,편,폔,폰,푠,푼,퓬,픈,핀,퐌,푄,퐨,풘,퓐,풴,픤
ㄷ,팓,팯,퍋,퍧,펃,펟,펻,폗,폳,푣,푿,퓯,픋,핃,퐏,푇,퐫,풛,퓓,풷,픧
ㄹ,팔,팰,퍌,퍨,펄,펠,펼,폘,폴,푤,풀,퓰,플,필,퐐,푈,퐬,풜,퓔,풸,픨
ㅁ,팜,팸,퍔,퍰,펌,펨,폄,폠,폼,푬,품,퓸,픔,핌,퐘,푐,퐴,풤,퓜,퓀,픰
ㅂ,팝,팹,퍕,퍱,펍,펩,폅,폡,폽,푭,풉,퓹,픕,핍,퐙,푑,퐵,풥,퓝,퓁,픱
ㅅ,팟,팻,퍗,퍳,펏,펫,폇,폣,폿,푯,풋,퓻,픗,핏,퐛,푓,퐷,풧,퓟,퓃,픳
ㅇ,팡,팽,퍙,퍵,펑,펭,평,폥,퐁,푱,풍,퓽,픙,핑,퐝,푕,퐹,풩,퓡,퓅,픵
ㅈ,팢,팾,퍚,퍶,펒,펮,폊,폦,퐂,푲,풎,퓾,픚,핒,퐞,푖,퐺,풪,퓢,퓆,픶
ㅊ,팣,팿,퍛,퍷,펓,펯,폋,폧,퐃,푳,풏,퓿,픛,핓,퐟,푗,퐻,풫,퓣,퓇,픷
ㅋ,팤,퍀,퍜,퍸,펔,펰,폌,폨,퐄,푴,풐,픀,픜,핔,퐠,푘,퐼,풬,퓤,퓈,픸
ㅌ,팥,퍁,퍝,퍹,펕,펱,폍,폩,퐅,푵,풑,픁,픝,핕,퐡,푙,퐽,풭,퓥,퓉,픹
ㅍ,팦,퍂,퍞,퍺,펖,펲,폎,폪,퐆,푶,풒,픂,픞,핖,퐢,푚,퐾,풮,퓦,퓊,픺
ㅎ,팧,퍃,퍟,퍻,펗,펳,폏,폫,퐇,푤,풓,픃,픟,핗,퐣,푛,퐿,풯,퓧,퓋,픻
ㄲ,팎,팪,퍆,퍢,퍾,펚,펶,폒,폮,푞,푺,퓪,픆,픾,퐊,푂,퐦,풖,퓎,풲,픢
ㄳ,팏,팫,퍇,퍣,퍿,펛,펷,폓,폯,푟,푻,퓫,픇,픿,퐋,푃,퐧,풗,퓏,풳,픣
ㄵ,팑,팭,퍉,퍥,펁,펝,펹,폕,폱,푡,푽,퓭,픉,핁,퐍,푅,퐩,풙,퓑,풵,픥
ㄶ,팒,팮,퍊,퍦,펂,펞,펺,폖,폲,푢,푾,퓮,픊,핂,퐎,푆,퐪,풚,퓒,풶,픦
ㄺ,팕,팱,퍍,퍩,펅,펡,펽,폙,폵,푥,풁,퓱,픍,핅,퐑,푉,퐭,풝,퓕,풹,픩
ㄻ,팖,팲,퍎,퍪,펆,펢,펾,폚,폶,푦,풂,퓲,픎,핆,퐒,푊,퐮,풞,퓖,풺,픪
ㄼ,팗,팳,퍏,퍫,펇,펣,펿,폛,폷,푧,풃,퓳,픏,핇,퐓,푋,퐯,풟,퓗,풻,픫
ㄽ,팘,팴,퍐,퍬,펈,펤,폀,폜,폸,푨,풄,퓴,픐,핈,퐔,푌,퐰,풠,퓘,풼,픬
ㄾ,팙,팵,퍑,퍭,펉,펥,폁,폝,폹,푩,풅,퓵,픑,핉,퐕,푍,퐱,풡,퓙,풽,픭
ㄿ,팚,팶,퍒,퍮,펊,펦,폂,폞,폺,푩,풆,퓶,픒,핊,퐖,푎,퐲,풢,퓚,풾,픮
ㅀ,팛,팷,퍓,퍯,펋,펧,폃,폟,폻,푫,풇,퓷,픓,핋,퐗,푏,퐳,풣,퓛,풿,픯
ㅄ,팞,팺,퍖,퍲,펎,펪,폆,폢,폾,푮,풊,퓺,픖,핎,퐚,푒,퐶,풦,퓞,퓂,픲
ㅆ,팠,팼,퍘,퍴,펐,펬,폈,폤,퐀,푰,풌,퓼,픘,핐,퐜,푔,퐸,풨,퓠,퓄,픴
