/,ㅏ,ㅐ,ㅑ,ㅒ,ㅓ,ㅔ,ㅕ,ㅖ,ㅗ,ㅛ,ㅜ,ㅠ,ㅡ,ㅣ,ㅘ,ㅚ,ㅙ,ㅝ,ㅟ,ㅞ,ㅢ
:,하,해,햐,햬,허,헤,혀,혜,호,효,후,휴,흐,히,화,회,홰,훠,휘,훼,희
ㄱ,학,핵,햑,햭,헉,헥,혁,혝,혹,횩,훅,휵,흑,힉,확,획,홱,훡,휙,훽,흭
ㄴ,한,핸,햔,햰,헌,헨,현,혠,혼,횬,훈,휸,흔,힌,환,횐,홴,훤,휜,휀,흰
ㄷ,핟,핻,햗,햳,헏,헫,혇,혣,혿,횯,훋,휻,흗,힏,홛,횓,홷,훧,휟,휃,흳
ㄹ,할,핼,햘,햴,헐,헬,혈,혤,홀,횰,훌,휼,흘,힐,활,횔,홸,훨,휠,휄,흴
ㅁ,함,햄,햠,햼,험,헴,혐,혬,홈,횸,훔,흄,흠,힘,홤,횜,횀,훰,휨,휌,흼
ㅂ,합,햅,햡,햽,헙,헵,협,혭,홉,횹,훕,흅,흡,힙,홥,횝,횁,훱,휩,휍,흽
ㅅ,핫,햇,햣,햿,헛,헷,혓,혯,홋,횻,훗,흇,흣,힛,홧,횟,횃,훳,휫,휏,흿
ㅇ,항,행,향,헁,헝,헹,형,혱,홍,횽,훙,흉,흥,힝,황,횡,횅,훵,휭,휑,힁
ㅈ,핮,햊,햦,헂,헞,헺,혖,혲,홎,횾,훚,흊,흦,힞,홪,횢,횆,훶,휮,휒,힂
ㅊ,핯,햋,햧,헃,헟,헻,혗,혳,홏,횿,훛,흋,흧,힟,홫,횣,횇,훷,휯,휓,힃
ㅋ,핰,햌,햨,헄,헠,헼,혘,혴,홐,훀,훜,흌,흨,힠,홬,횤,횈,훸,휰,휔,힄
ㅌ,핱,햍,햩,헅,헡,헽,혙,혵,홑,훁,훝,흍,흩,힡,홭,횥,횉,훹,휱,휕,힅
ㅍ,핲,햎,햪,헆,헢,헾,혚,혶,홒,훂,훞,흎,흪,힢,홮,횦,횊,훺,휲,휖,힆
ㅎ,핳,햏,햫,헇,헣,헿,혛,혷,홓,훃,훟,흏,흫,힣,홯,횧,횋,훻,휳,휗,힇
ㄲ,핚,핶,햒,햮,헊,헦,혂,혞,혺,횪,훆,휶,흒,힊,홖,횎,홲,훢,휚,훾,흮
ㄳ,핛,핷,햓,햯,헋,헧,혃,혟,혻,횫,훇,휷,흓,힋,홗,횏,홳,훣,휛,훿,흯
ㄵ,핝,핹,햕,햱,헍,헩,혅,혡,혽,횭,훉,휹,흕,힍,홙,횑,홵,훥,휝,휁,흱
ㄶ,핞,핺,햖,햲,헎,헪,혆,혢,혾,횮,훊,휺,흖,힎,홚,횒,홶,훦,휞,휂,흲
ㄺ,핡,핽,햙,햵,헑,헭,혉,혥,홁,횱,훍,휽,흙,힑,홝,횕,홹,훩,휡,휅,흵
ㄻ,핢,핾,햚,햶,헒,헮,혊,혦,홂,횲,훎,휾,흚,힒,홞,횖,홺,훪,휢,휆,흶
ㄼ,핣,핿,햛,햷,헓,헯,혋,혧,홃,횳,훏,휿,흛,힓,홟,횗,홻,훪,휣,휇,흷
ㄽ,핤,햀,햜,햸,헔,헰,혌,혨,홄,횴,훐,흀,흜,힔,홠,횘,홼,훬,휤,휈,흸
ㄾ,핥,햁,햝,햹,헕,헱,혍,혩,홅,횵,훑,흁,흝,힕,홡,횙,홽,훭,휥,휉,흹
ㄿ,핦,햂,햞,햺,헖,헲,혎,혪,홆,횵,훒,흂,흞,힖,홢,횚,홾,훮,휦,휊,흺
ㅀ,핧,햃,햟,햻,헗,헳,혏,혫,홇,횷,훓,흃,흟,힗,홣,횛,홿,훯,휧,휋,흻
ㅄ,핪,햆,햢,햾,헚,헶,혒,혮,홊,횺,훖,흆,흢,힚,홦,횞,횂,훲,휪,휎,흾
ㅆ,핬,했,햤,헀,헜,헸,혔,혰,홌,횼,훘,흈,흤,힜,홨,횠,횄,훴,휬,휐,힀
