/,ㄱ,ㄲ,ㄴ,ㄷ,ㄸ,ㄹ,ㅁ,ㅂ,ㅃ,ㅅ,ㅆ,ㅇ,ㅈ,ㅉ,ㅊ,ㅋ,ㅌ,ㅍ,ㅎ
ㅏ,갇,깓,낟,닫,딷,랃,맏,받,빧,삳,싿,앋,잗,짣,찯,칻,탇,팓,핟
ㅐ,갣,깯,낻,댇,땓,랟,맫,밷,뺃,샏,쌛,앧,잳,짿,챋,캗,탣,팯,핻
ㅑ,갿,꺋,냗,댣,땯,랻,먇,뱓,뺟,샫,쌷,얃,쟏,쨛,챧,캳,탿,퍋,햗
ㅒ,걛,꺧,냳,댿,떋,럗,먣,뱯,뺻,섇,썓,얟,쟫,쨷,첃,컏,턛,퍧,햳
ㅓ,걷,껃,넏,덛,떧,럳,먿,벋,뻗,섣,썯,얻,젇,쩓,첟,컫,턷,펃,헏
ㅔ,겓,껟,넫,덷,뗃,렏,멛,벧,뻳,섿,쎋,엗,젣,쩯,첻,켇,텓,펟,헫
ㅕ,겯,껻,녇,뎓,뗟,렫,멷,볃,뼏,셛,쎧,엳,젿,쪋,쳗,켣,텯,펻,혇
ㅖ,곋,꼗,녣,뎯,뗻,롇,몓,볟,뼫,셷,쏃,옏,졛,쪧,쳳,켿,톋,폗,혣
ㅗ,곧,꼳,녿,돋,똗,롣,몯,볻,뽇,솓,쏟,옫,졷,쫃,촏,콛,톧,폳,혿
ㅛ,굗,꾣,뇯,됻,뚇,룓,묟,뵫,뾷,숃,쑏,욛,죧,쬳,쵿,쿋,툗,푣,횯
ㅜ,굳,꾿,눋,둗,뚣,룯,묻,붇,뿓,숟,쑫,욷,줃,쭏,춛,쿧,툳,푿,훋
ㅠ,귣,뀯,뉻,듇,뜓,륟,뮫,뷷,쁃,슏,쓛,윧,쥳,쮿,츋,큗,튣,퓯,휻
ㅡ,귿,끋,늗,듣,뜯,륻,믇,븓,쁟,슫,쓷,읃,즏,쯛,츧,큳,튿,픋,흗
ㅣ,긷,낃,닏,딛,띧,릳,믿,빋,삗,싣,씯,읻,짇,찓,칟,킫,틷,핃,힏
ㅘ,괃,꽌,놛,돧,똳,롿,뫋,봗,뽣,솯,쏻,왇,좓,쫟,촫,콷,퇃,퐏,홛
ㅚ,괻,꾇,뇓,됟,뙫,뢷,묃,뵏,뾛,쇧,쐳,왿,죋,쬗,쵣,쾯,퇻,푇,횓
ㅙ,괟,꽫,놷,됃,뙏,뢛,뫧,봳,뽿,쇋,쐗,왣,좯,쫻,쵇,쾓,퇟,퐫,홷
ㅝ,궏,꿛,눧,둳,뚿,뤋,뭗,붣,뿯,숻,쒇,웓,줟,쭫,춷,퀃,퉏,풛,훧
ㅟ,귇,뀓,뉟,뒫,뛷,륃,뮏,뷛,쀧,쉳,쒿,윋,쥗,쮣,췯,퀻,튇,퓓,휟
ㅞ,궫,꿷,뉃,뒏,뛛,뤧,뭳,붿,쀋,쉗,쒣,웯,줻,쮇,췓,퀟,퉫,풷,휃
ㅢ,긛,끧,늳,듿,띋,릗,믣,븯,쁻,싇,씓,읟,즫,쯷,칃,킏,틛,픧,흳
