/,ㄱ,ㄲ,ㄴ,ㄷ,ㄸ,ㄹ,ㅁ,ㅂ,ㅃ,ㅅ,ㅆ,ㅇ,ㅈ,ㅉ,ㅊ,ㅋ,ㅌ,ㅍ,ㅎ
ㅏ,갚,깦,낲,닾,땊,랖,맢,밮,빺,샆,쌒,앞,잪,짶,챂,캎,탚,팦,핲
ㅐ,갶,꺂,냎,댚,땦,랲,맾,뱊,뺖,샢,쌮,앺,쟆,쨒,챞,캪,탶,퍂,햎
ㅑ,걒,꺞,냪,댶,떂,럎,먚,뱦,뺲,샾,썊,얖,쟢,쨮,챺,컆,턒,퍞,햪
ㅒ,걮,꺺,넆,덒,떞,럪,먶,벂,뻎,섚,썦,얲,쟾,쩊,첖,컢,턮,퍺,헆
ㅓ,겊,껖,넢,덮,떺,렆,멒,벞,뻪,섶,쎂,엎,젚,쩦,첲,컾,텊,펖,헢
ㅔ,겦,껲,넾,뎊,뗖,렢,멮,벺,뼆,셒,쎞,엪,젶,쪂,쳎,켚,텦,펲,헾
ㅕ,곂,꼎,녚,뎦,뗲,렾,몊,볖,뼢,셮,쎺,옆,졒,쪞,쳪,켶,톂,폎,혚
ㅖ,곞,꼪,녶,돂,똎,롚,몦,볲,뼾,솊,쏖,옢,졮,쪺,촆,콒,톞,폪,혶
ㅗ,곺,꽆,높,돞,똪,롶,뫂,봎,뽚,솦,쏲,옾,좊,쫖,촢,콮,톺,퐆,홒
ㅛ,굪,꾶,눂,둎,뚚,룦,묲,뵾,뿊,숖,쑢,욮,죺,쭆,춒,쿞,툪,푶,훂
ㅜ,궆,꿒,눞,둪,뚶,뤂,뭎,붚,뿦,숲,쑾,웊,줖,쭢,춮,쿺,퉆,풒,훞
ㅠ,귶,끂,늎,듚,뜦,륲,뮾,븊,쁖,슢,쓮,윺,즆,쯒,츞,큪,튶,픂,흎
ㅡ,긒,끞,늪,듶,띂,릎,믚,븦,쁲,슾,씊,읖,즢,쯮,츺,킆,틒,픞,흪
ㅣ,깊,낖,닢,딮,띺,맆,밒,빞,삪,싶,앂,잎,짚,찦,칲,킾,팊,핖,힢
ㅘ,괖,꽢,놮,돺,뙆,뢒,뫞,봪,뽶,쇂,쐎,왚,좦,쫲,촾,쾊,퇖,퐢,홮
ㅚ,굎,꾚,뇦,됲,뙾,룊,묖,뵢,뾮,쇺,쑆,욒,죞,쬪,쵶,쿂,툎,푚,횦
ㅙ,괲,꽾,뇊,됖,뙢,뢮,뫺,뵆,뾒,쇞,쐪,왶,죂,쬎,쵚,쾦,퇲,퐾,횊
ㅝ,궢,꿮,눺,뒆,뛒,뤞,뭪,붶,쀂,쉎,쒚,웦,줲,쭾,췊,퀖,퉢,풮,훺
ㅟ,귚,뀦,뉲,뒾,뜊,륖,뮢,뷮,쀺,슆,쓒,윞,쥪,쮶,츂,큎,튚,퓦,휲
ㅞ,궾,뀊,뉖,뒢,뛮,뤺,뮆,뷒,쀞,쉪,쒶,윂,쥎,쮚,췦,퀲,퉾,퓊,휖
ㅢ,긮,끺,닆,딒,띞,릪,믶,빂,삎,싚,씦,읲,즾,찊,칖,킢,틮,픺,힆
