/,ㄱ,ㄲ,ㄴ,ㄷ,ㄸ,ㄹ,ㅁ,ㅂ,ㅃ,ㅅ,ㅆ,ㅇ,ㅈ,ㅉ,ㅊ,ㅋ,ㅌ,ㅍ,ㅎ
ㅏ,갅,깑,낝,닩,딵,랁,맍,밙,빥,삱,싽,앉,잕,짡,찭,칹,탅,팑,핝
ㅐ,갡,깭,낹,댅,땑,랝,맩,밵,뺁,샍,쌙,앥,잱,짽,챉,캕,탡,팭,핹
ㅑ,갽,꺉,냕,댡,땭,랹,먅,뱑,뺝,샩,쌵,얁,쟍,쨙,챥,캱,탽,퍉,햕
ㅒ,걙,꺥,냱,댽,떉,럕,먡,뱭,뺹,섅,썑,얝,쟩,쨵,첁,컍,턙,퍥,햱
ㅓ,걵,껁,넍,덙,떥,럱,먽,벉,뻕,섡,썭,얹,젅,쩑,첝,컩,턵,펁,헍
ㅔ,겑,껝,넩,덵,뗁,렍,멙,벥,뻱,섽,쎉,엕,젡,쩭,첹,켅,텑,펝,헩
ㅕ,겭,껹,녅,뎑,뗝,렩,멵,볁,뼍,셙,쎥,엱,젽,쪉,쳕,켡,텭,펹,혅
ㅖ,곉,꼕,녡,뎭,뗹,롅,몑,볝,뼩,셵,쏁,옍,졙,쪥,쳱,켽,톉,폕,혡
ㅗ,곥,꼱,녽,돉,똕,롡,몭,볹,뽅,솑,쏝,옩,졵,쫁,촍,콙,톥,폱,혽
ㅛ,굕,꾡,뇭,됹,뚅,룑,묝,뵩,뾵,숁,쑍,욙,죥,쬱,쵽,쿉,툕,푡,횭
ㅜ,굱,꾽,눉,둕,뚡,룭,묹,붅,뿑,숝,쑩,욵,줁,쭍,춙,쿥,툱,푽,훉
ㅠ,귡,뀭,뉹,듅,뜑,륝,뮩,뷵,쁁,슍,쓙,윥,쥱,쮽,츉,큕,튡,퓭,휹
ㅡ,귽,끉,늕,듡,뜭,륹,믅,븑,쁝,슩,쓵,읁,즍,쯙,츥,큱,튽,픉,흕
ㅣ,긵,낁,닍,딙,띥,릱,믽,빉,삕,싡,씭,읹,짅,찑,칝,킩,틵,핁,힍
ㅘ,괁,꽍,놙,돥,똱,롽,뫉,봕,뽡,솭,쏹,왅,좑,쫝,촩,콵,퇁,퐍,홙
ㅚ,괹,꾅,뇑,됝,뙩,뢵,묁,뵍,뾙,쇥,쐱,왽,죉,쬕,쵡,쾭,퇹,푅,횑
ㅙ,괝,꽩,놵,됁,뙍,뢙,뫥,봱,뽽,쇉,쐕,왡,좭,쫹,쵅,쾑,퇝,퐩,홵
ㅝ,궍,꿙,눥,둱,뚽,뤉,뭕,붡,뿭,숹,쒅,웑,줝,쭩,춵,퀁,퉍,풙,훥
ㅟ,귅,뀑,뉝,뒩,뛵,륁,뮍,뷙,쀥,쉱,쒽,윉,쥕,쮡,췭,퀹,튅,퓑,휝
ㅞ,궩,꿵,뉁,뒍,뛙,뤥,뭱,붽,쀉,쉕,쒡,웭,줹,쮅,췑,퀝,퉩,풵,휁
ㅢ,긙,끥,늱,듽,띉,릕,믡,븭,쁹,싅,씑,읝,즩,쯵,칁,킍,틙,픥,흱
