/,ㄱ,ㄲ,ㄴ,ㄷ,ㄸ,ㄹ,ㅁ,ㅂ,ㅃ,ㅅ,ㅆ,ㅇ,ㅈ,ㅉ,ㅊ,ㅋ,ㅌ,ㅍ,ㅎ
ㅏ,갆,깒,낞,닪,딶,랂,많,밚,빦,삲,싾,않,잖,짢,찮,칺,탆,팒,핞
ㅐ,갢,깮,낺,댆,땒,랞,맪,밶,뺂,샎,쌚,앦,잲,짾,챊,캖,탢,팮,핺
ㅑ,갾,꺊,냖,댢,땮,랺,먆,뱒,뺞,샪,쌶,얂,쟎,쨚,챦,캲,탾,퍊,햖
ㅒ,걚,꺦,냲,댾,떊,럖,먢,뱮,뺺,섆,썒,얞,쟪,쨶,첂,컎,턚,퍦,햲
ㅓ,걶,껂,넎,덚,떦,럲,먾,벊,뻖,섢,썮,얺,젆,쩒,첞,컪,턶,펂,헎
ㅔ,겒,껞,넪,덶,뗂,렎,멚,벦,뻲,섾,쎊,엖,젢,쩮,첺,켆,텒,펞,헪
ㅕ,겮,껺,녆,뎒,뗞,렪,멶,볂,뼎,셚,쎦,엲,젾,쪊,쳖,켢,텮,펺,혆
ㅖ,곊,꼖,녢,뎮,뗺,롆,몒,볞,뼪,셶,쏂,옎,졚,쪦,쳲,켾,톊,폖,혢
ㅗ,곦,꼲,녾,돊,똖,롢,몮,볺,뽆,솒,쏞,옪,졶,쫂,촎,콚,톦,폲,혾
ㅛ,굖,꾢,뇮,됺,뚆,룒,묞,뵪,뾶,숂,쑎,욚,죦,쬲,쵾,쿊,툖,푢,횮
ㅜ,굲,꾾,눊,둖,뚢,룮,묺,붆,뿒,숞,쑪,욶,줂,쭎,춚,쿦,툲,푾,훊
ㅠ,귢,뀮,뉺,듆,뜒,륞,뮪,뷶,쁂,슎,쓚,윦,쥲,쮾,츊,큖,튢,퓮,휺
ㅡ,귾,끊,늖,듢,뜮,륺,믆,븒,쁞,슪,쓶,읂,즎,쯚,츦,큲,튾,픊,흖
ㅣ,긶,낂,닎,딚,띦,릲,믾,빊,삖,싢,씮,읺,짆,찒,칞,킪,틶,핂,힎
ㅘ,괂,꽎,놚,돦,똲,롾,뫊,봖,뽢,솮,쏺,왆,좒,쫞,촪,콶,퇂,퐎,홚
ㅚ,괺,꾆,뇒,됞,뙪,뢶,묂,뵎,뾚,쇦,쐲,왾,죊,쬖,쵢,쾮,퇺,푆,횒
ㅙ,괞,꽪,놶,됂,뙎,뢚,뫦,봲,뽾,쇊,쐖,왢,좮,쫺,쵆,쾒,퇞,퐪,홶
ㅝ,궎,꿚,눦,둲,뚾,뤊,뭖,붢,뿮,숺,쒆,웒,줞,쭪,춶,퀂,퉎,풚,훦
ㅟ,귆,뀒,뉞,뒪,뛶,륂,뮎,뷚,쀦,쉲,쒾,윊,쥖,쮢,췮,퀺,튆,퓒,휞
ㅞ,궪,꿶,뉂,뒎,뛚,뤦,뭲,붾,쀊,쉖,쒢,웮,줺,쮆,췒,퀞,퉪,풶,휂
ㅢ,긚,끦,늲,듾,띊,릖,믢,븮,쁺,싆,씒,읞,즪,쯶,칂,킎,틚,픦,흲
