/,ㄱ,ㄲ,ㄴ,ㄷ,ㄸ,ㄹ,ㅁ,ㅂ,ㅃ,ㅅ,ㅆ,ㅇ,ㅈ,ㅉ,ㅊ,ㅋ,ㅌ,ㅍ,ㅎ
ㅏ,갋,깗,낣,닯,딻,랇,맓,밟,빫,삷,쌃,앏,잛,짧,찳,칿,탋,팗,핣
ㅐ,갧,깳,낿,댋,땗,랣,맯,밻,뺇,샓,쌟,앫,잷,쨃,챏,캛,탧,팳,핿
ㅑ,걃,꺏,냛,댧,땳,랿,먋,뱗,뺣,샯,쌻,얇,쟓,쨟,챫,캷,턃,퍏,햛
ㅒ,걟,꺫,냷,덃,떏,럛,먧,뱳,뺿,섋,썗,얣,쟯,쨻,첇,컓,턟,퍫,햷
ㅓ,걻,껇,넓,덟,떫,럷,멃,벏,뻛,섧,썳,얿,젋,쩗,첣,컯,턻,펇,헓
ㅔ,겗,껣,넯,덻,뗇,렓,멟,벫,뻷,셃,쎏,엛,젧,쩳,첿,켋,텗,펣,헯
ㅕ,겳,껿,녋,뎗,뗣,렯,멻,볇,뼓,셟,쎫,엷,졃,쪏,쳛,켧,텳,펿,혋
ㅖ,곏,꼛,녧,뎳,뗿,롋,몗,볣,뼯,셻,쏇,옓,졟,쪫,쳷,콃,톏,폛,혧
ㅗ,곫,꼷,놃,돏,똛,롧,몳,볿,뽋,솗,쏣,옯,졻,쫇,촓,콟,톫,폷,홃
ㅛ,굛,꾧,뇳,됿,뚋,룗,묣,뵯,뾻,숇,쑓,욟,죫,쬷,춃,쿏,툛,푧,횳
ㅜ,굷,꿃,눏,둛,뚧,룳,묿,붋,뿗,숣,쑯,욻,줇,쭓,춟,쿫,툷,풃,훏
ㅠ,귧,뀳,뉿,듋,뜗,륣,뮯,뷻,쁇,슓,쓟,윫,쥷,쯃,츏,큛,튧,퓳,휿
ㅡ,긃,끏,늛,듧,뜳,륿,믋,븗,쁣,슯,쓻,읇,즓,쯟,츫,큷,틃,픏,흛
ㅣ,긻,낇,닓,딟,띫,릷,밃,빏,삛,싧,씳,읿,짋,찗,칣,킯,틻,핇,힓
ㅘ,괇,꽓,놟,돫,똷,뢃,뫏,봛,뽧,솳,쏿,왋,좗,쫣,촯,콻,퇇,퐓,홟
ㅚ,괿,꾋,뇗,됣,뙯,뢻,묇,뵓,뾟,쇫,쐷,욃,죏,쬛,쵧,쾳,퇿,푋,횗
ㅙ,괣,꽯,놻,됇,뙓,뢟,뫫,봷,뾃,쇏,쐛,왧,좳,쫿,쵋,쾗,퇣,퐯,홻
ㅝ,궓,꿟,눫,둷,뛃,뤏,뭛,붧,뿳,숿,쒋,웗,줢,쭮,춻,퀇,퉓,풟,훪
ㅟ,귋,뀗,뉣,뒯,뛻,륇,뮓,뷟,쀫,쉷,쓃,윏,쥛,쮧,췳,퀿,튋,퓗,휣
ㅞ,궯,꿻,뉇,뒓,뛟,뤫,뭷,뷃,쀏,쉛,쒧,웳,줿,쮋,췗,퀣,퉯,풻,휇
ㅢ,긟,끫,늷,딃,띏,릛,믧,븳,쁿,싋,씗,읣,즯,쯻,칇,킓,틟,픫,흷
