/,ㄱ,ㄲ,ㄴ,ㄷ,ㄸ,ㄹ,ㅁ,ㅂ,ㅃ,ㅅ,ㅆ,ㅇ,ㅈ,ㅉ,ㅊ,ㅋ,ㅌ,ㅍ,ㅎ
ㅏ,갍,깙,낥,닱,딽,랉,맕,밡,빭,삹,쌅,앑,잝,짩,찵,캁,탍,팙,핥
ㅐ,갩,깵,냁,댍,땙,랥,맱,밽,뺉,샕,쌡,앭,잹,쨅,챑,캝,탩,팵,햁
ㅑ,걅,꺑,냝,댩,땵,럁,먍,뱙,뺥,샱,쌽,얉,쟕,쨡,챭,캹,턅,퍑,햝
ㅒ,걡,꺭,냹,덅,떑,럝,먩,뱵,뻁,섍,썙,얥,쟱,쨽,첉,컕,턡,퍭,햹
ㅓ,걽,껉,넕,덡,떭,럹,멅,벑,뻝,섩,썵,엁,젍,쩙,첥,컱,턽,펉,헕
ㅔ,겙,껥,넱,덽,뗉,렕,멡,벭,뻹,셅,쎑,엝,젩,쩵,쳁,켍,텙,펥,헱
ㅕ,겵,꼁,녍,뎙,뗥,렱,멽,볉,뼕,셡,쎭,엹,졅,쪑,쳝,켩,텵,폁,혍
ㅖ,곑,꼝,녩,뎵,똁,롍,몙,볥,뼱,셽,쏉,옕,졡,쩵,쳹,콅,톑,폝,혩
ㅗ,곭,꼹,놅,돑,똝,롩,몵,봁,뽍,솙,쏥,옱,졽,쫉,촕,콡,톭,폹,홅
ㅛ,굝,꾩,뇵,둁,뚍,룙,묥,뵱,뾽,숉,쑕,욡,죭,쬹,춅,쿑,툝,푩,횵
ㅜ,굹,꿅,눑,둝,뚩,룵,뭁,붍,뿙,숥,쑱,욽,줉,쭕,춡,쿭,툹,풅,훑
ㅠ,귩,뀵,늁,듍,뜙,륥,뮱,뷽,쁉,슕,쓡,윭,쥹,쯅,츑,큝,튩,퓵,흁
ㅡ,긅,끑,늝,듩,뜵,릁,믍,븙,쁥,슱,쓽,읉,즕,쯡,츭,큹,틅,픑,흝
ㅣ,긽,낉,닕,딡,띭,릹,밅,빑,삝,싩,씵,잁,짍,찙,칥,킱,틽,핉,힕
ㅘ,괉,꽕,놡,돭,똹,뢅,뫑,봝,뽩,솵,쐁,왍,좙,쫥,촱,콽,퇉,퐕,홡
ㅚ,굁,꾍,뇙,됥,뙱,뢽,묉,뵕,뾡,쇭,쐹,욅,죑,쬝,쵩,쾵,툁,푍,횙
ㅙ,괥,꽱,놽,됉,뙕,뢡,뫭,봹,뾅,쇑,쐝,왩,좵,쬁,쵍,쾙,퇥,퐱,홽
ㅝ,궕,꿡,눭,둹,뛅,뤑,뭝,붩,뿵,쉁,쒍,웙,줥,쭱,춽,퀉,퉕,풡,훭
ㅟ,귍,뀙,뉥,뒱,뛽,륉,뮕,뷡,쀭,쉹,쓅,윑,쥝,쮩,췵,큁,튍,퓙,휥
ㅞ,궱,꿽,뉉,뒕,뛡,뤭,뭹,뷅,쀑,쉝,쒩,웵,쥁,쮍,췙,퀥,퉱,풽,휉
ㅢ,긡,끭,늹,딅,띑,릝,믩,븵,삁,싍,씙,읥,즱,쯽,칉,킕,틡,픭,흹
