/,ㄱ,ㄲ,ㄴ,ㄷ,ㄸ,ㄹ,ㅁ,ㅂ,ㅃ,ㅅ,ㅆ,ㅇ,ㅈ,ㅉ,ㅊ,ㅋ,ㅌ,ㅍ,ㅎ
ㅏ,갎,깚,낦,닲,딾,랊,맖,밢,빮,삺,쌆,앒,잞,짪,찶,캂,탎,팚,핦
ㅐ,갪,깶,냂,댎,땚,랦,맲,밾,뺊,샖,쌢,앮,잺,쨆,챒,캞,탪,팶,햂
ㅑ,걆,꺒,냞,댪,땶,럂,먎,뱚,뺦,샲,쌾,얊,쟖,쨢,챮,캺,턆,퍒,햞
ㅒ,걢,꺮,냺,덆,떒,럞,먪,뱶,뻂,섎,썚,얦,쟲,쨾,첊,컖,턢,퍮,햺
ㅓ,걾,껊,넖,덢,떮,럺,멆,벒,뻞,섪,썶,엂,젎,쩚,첦,컲,턾,펊,헖
ㅔ,겚,껦,넲,덾,뗊,렖,멢,벮,뻺,셆,쎒,엞,젪,쩶,쳂,켎,텚,펦,헲
ㅕ,겶,꼂,녎,뎚,뗦,렲,멾,볊,뼖,셢,쎮,엺,졆,쪒,쳞,켪,텶,폂,혎
ㅖ,곒,꼞,녪,뎶,똂,롎,몚,볦,뼲,셾,쏊,옖,졢,쪮,쳺,콆,톒,폞,혪
ㅗ,곮,꼺,놆,돒,똞,롪,몶,봂,뽎,솚,쏦,옲,졾,쫊,촖,콢,톮,폺,홆
ㅛ,굝,꾩,뇵,둁,뚍,룙,묥,뵱,뾽,숉,쑕,욡,죭,쬹,춅,쿑,툝,푩,횵
ㅜ,굺,꿆,눒,둞,뚪,룶,뭂,붎,뿚,숦,쑲,욾,줊,쭖,춢,쿮,툺,풆,훒
ㅠ,귪,뀶,늂,듎,뜚,륦,뮲,뷾,쁊,슖,쓢,윮,쥺,쯆,츒,큞,튪,퓶,흂
ㅡ,긆,끒,늞,듪,뜶,릂,믎,븚,쁦,슲,쓾,읊,즖,쯢,츮,큺,틆,픒,흞
ㅣ,긾,낊,닖,딢,띮,릺,밆,빒,삞,싪,씶,잂,짎,찚,칦,킲,틾,핊,힖
ㅘ,괊,꽖,놢,돮,똺,뢆,뫒,봞,뽪,솶,쐂,왎,좚,쫦,촲,콾,퇊,퐖,홢
ㅚ,굂,꾎,뇚,됦,뙲,뢾,묊,뵖,뾢,쇮,쐺,욆,죒,쬞,쵪,쾶,툂,푎,횚
ㅙ,괦,꽲,놾,됊,뙖,뢢,뫮,봺,뾆,쇒,쐞,왪,좶,쬂,쵎,쾚,퇦,퐲,홾
ㅝ,궖,꿢,눮,둺,뛆,뤒,뭞,붪,뿶,쉂,쒎,웚,줦,쭲,춾,퀊,퉖,풢,훮
ㅟ,귎,뀚,뉦,뒲,뛾,륊,뮖,뷢,쀮,쉺,쓆,윒,쥞,쮪,췶,큂,튎,퓚,휦
ㅞ,궲,꿾,뉊,뒖,뛢,뤮,뭺,뷆,쀒,쉞,쒪,웶,쥂,쮎,췚,퀦,퉲,풾,휊
ㅢ,긢,끮,늺,딆,띒,릞,믪,븶,삂,싎,씚,읦,즲,쯾,칊,킖,틢,픮,흺
