/,ㄱ,ㄲ,ㄴ,ㄷ,ㄸ,ㄹ,ㅁ,ㅂ,ㅃ,ㅅ,ㅆ,ㅇ,ㅈ,ㅉ,ㅊ,ㅋ,ㅌ,ㅍ,ㅎ
ㅏ,갏,깛,낧,닳,딿,랋,맗,밣,빯,삻,쌇,앓,잟,짫,찷,캃,탏,팛,핧
ㅐ,갫,깷,냃,댏,땛,랧,맳,밿,뺋,샗,쌣,앯,잻,쨇,챓,캟,탫,팷,햃
ㅑ,걇,꺓,냟,댫,땷,럃,먏,뱛,뺧,샳,쌿,얋,쟗,쨣,챯,캻,턇,퍓,햟
ㅒ,걣,꺯,냻,덇,떓,럟,먫,뱷,뻃,섏,썛,얧,쟳,쨿,첋,컗,턣,퍯,햻
ㅓ,걿,껋,넗,덣,떯,럻,멇,벓,뻟,섫,썷,엃,젏,쩛,첧,컳,턿,펋,헗
ㅔ,겛,껧,넳,덿,똃,렗,멣,벯,뼳,셇,쎓,엟,젫,쩷,쳃,켏,텛,펧,헳
ㅕ,겷,꼃,녏,뎛,뗧,렳,멿,볋,뼗,셣,쎯,엻,졇,쪓,쳟,켫,텷,폃,혏
ㅖ,곓,꼟,녫,뎷,똃,롏,몛,볧,뼳,셿,쏋,옗,졣,쪯,쳻,콇,톓,폟,혫
ㅗ,곯,꼻,놇,돓,똟,롫,몷,봃,뽏,솛,쏧,옳,졿,쫋,촗,콣,톯,폻,홇
ㅛ,굟,꾫,뇷,둃,뚏,룛,묧,뵳,뾿,숋,쑗,욣,죯,쬻,춇,쿓,툟,푫,횷
ㅜ,굻,꿇,눓,둟,뚫,룷,뭃,붏,뿛,숧,쑳,욿,줋,쭗,춣,쿯,툻,풇,훓
ㅠ,귫,뀷,늃,듏,뜛,륧,뮳,뷿,쁋,슗,쓣,윯,쥻,쯇,츓,큟,튫,퓷,흃
ㅡ,긇,끓,늟,듫,뜷,릃,믏,븛,쁧,슳,쓿,읋,즗,쯣,츯,큻,틇,픓,흟
ㅣ,긿,낋,닗,딣,띯,릻,밇,빓,삟,싫,씷,잃,짏,찛,칧,킳,틿,핋,힗
ㅘ,괋,꽗,놣,돯,똻,뢇,뫓,봟,뽫,솷,쐃,왏,좛,쫧,촳,콿,퇋,퐗,홣
ㅚ,굃,꾏,뇛,됧,뙳,뢿,묋,뵗,뾣,쇯,쐻,욇,죓,쬟,쵫,쾷,툃,푏,횛
ㅙ,괧,꽳,놿,됋,뙗,뢣,뫯,봻,뾇,쇓,쐟,왫,좷,쬃,쵏,쾛,퇧,퐳,홿
ㅝ,궗,꿣,눯,둻,뛇,뤓,뭟,붫,뿷,쉃,쒏,웛,줧,쭳,춿,퀋,퉗,풣,훯
ㅟ,귏,뀛,뉧,뒳,뛿,륋,뮗,뷣,쀯,쉻,쓇,윓,쥟,쮫,췷,큃,튏,퓛,휧
ㅞ,궳,꿿,뉋,뒗,뛣,뤯,뭻,뷇,쀓,쉟,쒫,웷,쥃,쮏,췛,퀧,퉳,풿,휋
ㅢ,긣,끯,늻,딇,띓,릟,믫,븷,삃,싏,씛,읧,즳,쯿,칋,킗,틣,픯,흻
